,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Sandy Alcantara,29.5,2.100,16302021,,630000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Pablo López,29.1,2.093,15952021,,595000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Lewis Brinson,30.9,2.115,158752021,,587500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Elieser Hernández,29.9,2.118,15792021,,579000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Jon Berti,35.2,1.168,160752021,,607500,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
5,Magneuris Sierra,29.0,1.138,157142021,,571375,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Jesús Luzardo,27.5,1.021,157552021,,575500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
7,Trevor Rogers,27.4,0.094,157482021,,574750,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Jazz Chisholm Jr.,27.1,0.075,157182021,,571750,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Jesús Sánchez,27.5,0.033,15712021,,571000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
10,Anthony Bender,30.1,,157052021,,570500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
11,Zach Thompson,31.4,,157052021,,570500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
12,Bryan De La Cruz,28.3,,"1 yr, TBD (2021)",,TBD,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3
13,Estimated salaries for other pre-arbitration players,6846000,,,,,,,,,,
