,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Trevor Rogers,27.4,2.094,17522023,,752000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Jazz Chisholm Jr.,27.1,2.075,174952023,,749500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Steven Okert,33.7,2.109,17392023,,739000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,A.J. Puk,29.9,2.124,17362023,,736000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Anthony Bender,30.1,1.153,173852023,,738500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Jesús Sánchez,27.5,1.118,17382023,,738000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Bryan De La Cruz,28.3,1.056,17362023,,736000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Braxton Garrett,27.6,0.168,17322023,,732000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Edward Cabrera,27.0,0.168,17312023,,731000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Jake Burger,29.0,0.127,17252023,,725000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
10,Huascar Brazobán,35.4,0.074,17242023,,724000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
11,Max Meyer,26.0,0.082,172152023,,721500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
12,Estimated salaries for other pre-arbitration players,3600000,,,,,,,,,,
