,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,Jesús Sánchez,27.5,3.118,1452025,,4500000,ARB 2,ARB 3,FREE AGENT,,,
1,Anthony Bender,30.1,3.153,11422025,,1420000,ARB 3,ARB 4,FREE AGENT,,,
2,Edward Cabrera,27.0,2.147,11952025,,1950000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
3,Nick Fortes,28.4,2.149,11862025,,1860000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
4,Braxton Garrett,27.6,2.168,11532025,,1530000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
