,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Ross Stripling,35.3,5.115,13792022,,3790000,FREE AGENT,,,,,
1,Teoscar Hernández,32.4,4.097,110652022,,10650000,ARB 3,FREE AGENT,,,,
2,Raimel Tapia,31.1,4.020,13952022,,3950000,ARB 3,FREE AGENT,,,,
3,Danny Jansen,29.9,3.050,11952022,,1950000,ARB 2,ARB 3,FREE AGENT,,,
4,Adam Cimber,34.6,3.156,115752022,,1575000,ARB 3,ARB 4,FREE AGENT,,,
5,Bradley Zimmer,32.3,3.077,1132022,,1300000,ARB 2,ARB 3,FREE AGENT,,,
6,Trevor Richards,31.9,3.084,112022,,1000000,ARB 2,ARB 3,FREE AGENT,,,
7,Vladimir Guerrero Jr.,26.0,2.157,1792022,,7900000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
8,Cavan Biggio,30.0,2.129,121232022,,2122500,ARB 2,ARB 3,ARB 4,FREE AGENT,,
9,Tim Mayza,33.2,2.156,11252022,,1250000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
10,Trent Thornton,31.5,2.130,18502022,,850000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
