,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,George Springer,35.5,7.166,6150202126,25000000,29666667,24166667,24166667,24166667,24166667,FREE AGENT,
1,Kevin Gausman,34.2,7.151,5110202226,22000000,21000000,21000000,22000000,23000000,23000000,FREE AGENT,
2,Hyun Jin Ryu,38.0,9.000,480202023,20000000,20000000,20000000,FREE AGENT,,,,
3,José Berríos,30.8,5.044,71312022282026,18714286,10714286,15714286,17714286,18714286,18714286,24714286,24714286
4,Matt Chapman,31.9,4.109,225202223,12500000,12500000,12500000,FREE AGENT,,,,
5,Yusei Kikuchi,33.8,3.000,336202224,12000000,16000000,10000000,10000000,FREE AGENT,,,
6,Whit Merrifield,36.2,5.101,527201923,7000000,7000000,6750000,18000000,,,,
7,Yimi García,34.6,6.149,3162022242024,5500000,4333333,5333333,6333333,FREE AGENT,,,
8,Anthony Bass,37.4,7.010,37202123,3500000,3000000,3000000,,,,,
9,Lourdes Gurriel Jr.,31.5,3.094,722201723,3142857,4928571,5828571,FREE AGENT,,,,
10,David Phelps,38.5,9.156,11752022,1750000,1750000,FREE AGENT,,,,,
