,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Nolan Arenado,33.9,8.155,9275201927,30555556,35000000,35000000,35000000,32000000,27000000,15000000,FREE AGENT
1,Paul Goldschmidt,37.5,10.059,5130202024,26000000,26000000,26000000,26000000,FREE AGENT,,,
2,Adam Wainwright,43.6,16.027,11752022,17500000,17500000,FREE AGENT,,,,,
3,Miles Mikolas,36.6,5.037,468202023,17000000,17000000,17000000,FREE AGENT,,,,
4,Steven Matz,33.8,6.099,444202225,11000000,8500000,10500000,12500000,12500000,FREE AGENT,,
5,Yadier Molina,42.7,17.123,1102022,10000000,10000000,FREE AGENT,,,,,
6,Corey Dickerson,35.8,8.101,152022,5000000,5000000,FREE AGENT,,,,,
7,Paul DeJong,31.6,4.127,626201823,4333333,6166667,9166667,12500000,15000000,,,
8,Drew VerHagen,34.4,3.066,255202223,2750000,2500000,3000000,FREE AGENT,,,,
9,Albert Pujols,45.2,21.000,1252022,2500000,2500000,FREE AGENT,,,,,
10,Giovanny Gallegos,33.6,3.085,12412022211202324,2410000,2410000,5000000,5500000,6500000,,,
11,Jose Quintana,36.2,9.133,122022,2000000,2000000,FREE AGENT,,,,,
