,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Nolan Arenado,33.9,9.155,9275201927,30555556,35000000,35000000,32000000,27000000,15000000,FREE AGENT,
1,Paul Goldschmidt,37.5,11.059,5130202024,26000000,26000000,26000000,FREE AGENT,,,,
2,Miles Mikolas,36.6,6.037,35575202325,18583333,20416667,17666667,17666667,FREE AGENT,,,
3,Adam Wainwright,43.6,17.027,11752023,17500000,17500000,FREE AGENT,,,,,
4,Willson Contreras,32.9,6.108,58752023272028,17500000,10000000,18000000,18000000,18000000,18500000,17500000,
5,Steven Matz,33.8,7.099,444202225,11000000,10500000,12500000,12500000,FREE AGENT,,,
6,Giovanny Gallegos,33.6,4.085,211202324,5500000,5000000,5500000,6500000,,,,
7,Drew VerHagen,34.4,4.066,255202223,2750000,3000000,FREE AGENT,,,,,
