,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Zach Plesac,30.2,2.086,122022,,2000000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Aaron Civale,29.8,2.058,171692022,,716900,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Anthony Gose,34.6,2.139,170292022,,702900,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,James Karinchak,29.5,1.169,171452022,,714500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Triston McKenzie,27.6,1.074,170712022,,707100,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Andrés Giménez,26.6,1.106,170662022,,706600,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Trevor Stephan,29.3,1.000,170342022,,703400,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Eli Morgan,28.9,0.108,170212022,,702100,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Nick Sandlin,28.2,0.157,170172022,,701700,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Steven Kwan,27.6,,17002022,,700000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
10,Estimated salaries for other pre-arbitration players,9800000,,,,,,,,,,
