,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,Connor Wong,28.9,2.079,17902025,,790000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Triston Casas,25.2,2.032,17742025,,774000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Zack Kelly,30.1,2.017,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Cooper Criswell,28.7,1.117,112025,,1000000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Wilyer Abreu,25.8,1.041,17802025,,780000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,David Hamilton,27.5,1.020,17802025,,780000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Justin Slaten,27.5,1.000,17762025,,776000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Brennan Bernardino,33.2,1.153,"1 yr, TBD (2025)",,TBD,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Greg Weissert,30.1,1.079,"1 yr, TBD (2025)",,TBD,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
9,Kristian Campbell,22.7,,17602025,,760000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
10,Estimated salaries for other pre-arbitration players,6080000,,,,,,,,,,
