,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Sean Newcomb,27.3,2.108,159352020,,593500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Max Fried,26.7,1.148,158352020,,583500,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
2,Michael Soroka,23.2,1.146,158352020,,583500,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
3,Tyler Matzek,30.0,1.019,156352020,,563500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Kyle Wright,25.0,0.076,157352020,,573500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
5,Austin Riley,23.5,0.138,156852020,,568500,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT
6,Ian Anderson,22.4,0.000,156352020,,563500,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3
7,Estimated salaries for other pre-arbitration players,,,,,2817500,,,,,,
