,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Hunter Harvey,30.3,4.047,123252024,,2325000,ARB 3,FREE AGENT,,,,
1,Josh Taylor,32.1,4.121,1112024,,1100000,ARB 3,FREE AGENT,,,,
2,Brady Singer,28.6,3.156,14852024,,4850000,ARB 2,ARB 3,FREE AGENT,,,
3,Kris Bubic,27.6,3.135,12352024,,2350000,ARB 2,ARB 3,FREE AGENT,,,
4,Kyle Wright,29.5,3.062,1182024,,1800000,ARB 2,ARB 3,FREE AGENT,,,
5,John Schreiber,31.1,3.027,111752024,,1175000,ARB 2,ARB 3,FREE AGENT,,,
6,Carlos Hernández,28.0,2.145,110132024,,1012500,ARB 2,ARB 3,ARB 4,FREE AGENT,,
