,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Edward Olivares,29.1,2.055,174082023,,740750,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Bobby Witt Jr.,24.8,1.000,174582023,,745750,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
2,Tucker Davidson,29.0,1.039,17402023,,740000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
3,Daniel Lynch IV,28.4,1.083,173032023,,730250,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Carlos Hernández,28.0,1.145,173032023,,730250,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,MJ Melendez,26.3,0.153,172652023,,726500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
6,Vinnie Pasquantino,27.5,0.101,172552023,,725500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
7,Maikel Garcia,25.1,0.015,17202023,,720000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Nick Pratto,26.5,0.080,17202023,,720000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Estimated salaries for other pre-arbitration players,8640000,,,,,,,,,,
