,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Bobby Witt Jr.,24.8,2.000,112887782024342035372030203120322033,26252525,2707071,7707071,13707071,19707071,30707071,35707071,35707071
1,Salvador Perez,34.9,12.050,4822022252026,20500000,20000000,22000000,13500000,,,,
2,Michael Wacha,33.7,10.062,2322024,16000000,16000000,16000000,,,,,
3,Seth Lugo,35.4,7.082,3452024252026,15000000,15000000,15000000,15000000,,,,
4,Hunter Renfroe,33.2,6.165,2132024252025,6500000,5500000,7500000,FREE AGENT,,,,
5,Will Smith,35.7,10.155,152024,5000000,5000000,FREE AGENT,,,,,
6,Adam Frazier,33.3,7.075,1452024,4500000,2000000,8500000,,,,,
7,Michael Lorenzen,33.2,8.159,1452024,4500000,4500000,FREE AGENT,,,,,
8,Chris Stratton,34.6,6.100,282024252025,4000000,3500000,4500000,FREE AGENT,,,,
9,Tommy Pham,37.0,8.107,1253220243,2532258,2532258,FREE AGENT,,,,,
10,Garrett Hampson,30.5,5.010,122024,2000000,2000000,FREE AGENT,,,,,
11,Paul DeJong,31.6,6.057,11752024,1750000,1750000,FREE AGENT,,,,,
12,Robbie Grossman,35.5,9.060,11435202415,1435484,1435484,FREE AGENT,,,,,
13,Yuli Gurriel,40.8,7.043,"1 yr, TBD (2024)",,TBD,FREE AGENT,,,,,
