,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,Daniel Lynch IV,28.4,2.136,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Michael Massey,27.0,2.068,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Vinnie Pasquantino,27.5,2.101,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Sam Long,29.7,2.121,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Angel Zerpa,25.5,2.082,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
5,Maikel Garcia,25.1,1.168,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
6,Lucas Erceg,29.9,1.136,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
7,James McArthur,28.3,1.150,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
8,Freddy Fermin,29.9,1.165,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
9,Estimated salaries for other pre-arbitration players,12160000,,,,,,,,,,
