,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Jake Marisnick,29.5,5.132,1331252020,,3312500,FREE AGENT,,,,,
1,Marcus Stroman,29.4,5.148,1122020442020,,3200000,FREE AGENT,,,,,
2,Noah Syndergaard,28.1,4.149,1972020,,9700000,ARB 4,FREE AGENT,,,,
3,Michael Conforto,27.6,4.043,182020,,8000000,ARB 3,FREE AGENT,,,,
4,Steven Matz,29.4,4.099,152020,,5000000,ARB 3,FREE AGENT,,,,
5,Chasen Shreve,30.2,4.012,1152020,,1500000,ARB 4,FREE AGENT,,,,
6,Edwin Díaz,26.5,3.121,1512020,,5100000,ARB 2,ARB 3,FREE AGENT,,,
7,Brandon Nimmo,27.5,3.042,121752020,,2175000,ARB 2,ARB 3,FREE AGENT,,,
8,Seth Lugo,30.9,3.082,122020,,2000000,ARB 2,ARB 3,FREE AGENT,,,
9,Robert Gsellman,27.2,3.042,112252020,,1225000,ARB 2,ARB 3,FREE AGENT,,,
10,Miguel Castro,25.8,3.079,11052020,,1050000,ARB 2,ARB 3,FREE AGENT,,,
11,Guillermo Heredia,29.7,3.054,112020,,1000000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
