,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Francisco Lindor,31.4,7.113,10341202231,31900000,34100000,34100000,34100000,34100000,34100000,34100000,34100000
1,Brandon Nimmo,32.0,6.042,8162202330,20250000,18500000,20500000,20500000,20500000,20500000,20500000,20500000
2,Starling Marte,36.5,9.162,478202225,19500000,20750000,20750000,20750000,FREE AGENT,,,
3,Edwin Díaz,31.0,6.121,5102202327202820252026,18600000,21250000,21250000,21500000,18500000,18500000,17250000,
4,Kodai Senga,32.2,,57520232720282025400,15000000,15666667,15666667,15666667,14000000,14000000,15000000,
5,Carlos Carrasco,38.0,11.147,558201923,14000000,14000000,FREE AGENT,,,,,
6,Jose Quintana,36.2,10.133,226202324,13000000,13000000,13000000,FREE AGENT,,,,
7,Jeff McNeil,33.0,4.069,4502023262027,12500000,6250000,10250000,15750000,15750000,15750000,,
8,Omar Narváez,33.1,6.089,215202324,7500000,8000000,7000000,,,,,
9,Adam Ottavino,39.3,11.087,21452023,7250000,7750000,6750000,,,,,
10,Brooks Raley,36.7,3.045,315252022242024,5750000,4500000,6500000,FREE AGENT,,,,
11,Tomás Nido,31.0,4.089,237202324,1850000,1600000,2100000,,,,,
12,Trevor Gott,32.6,4.057,1122023,1200000,1200000,ARB 3,FREE AGENT,,,,
13,Danny Mendick,31.5,2.168,112023,1000000,1000000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
14,John Curtiss,32.0,3.045,21545202223,775000,775000,FREE AGENT,,,,,
