,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Pete Alonso,30.3,2.000,167682021,,676775,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Jeff McNeil,33.0,2.069,164232021,,642251,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Joey Lucchesi,31.8,2.067,160712021,,607100,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Tomás Nido,31.0,2.089,157722021,,577200,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Drew Smith,31.5,2.034,157452021,,574500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
5,David Peterson,29.6,1.000,158582021,,585750,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Luis Guillorme,30.5,1.167,158072021,,580701,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Estimated salaries for other pre-arbitration players,0,,,,,,,,,,
