,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Cedric Mullins,30.5,2.078,171652022,,716500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Austin Hays,29.7,2.057,17132022,,713000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Dillon Tate,30.9,2.048,171152022,,711500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Jorge Mateo,29.8,2.000,170952022,,709500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Ryan Mountcastle,28.1,1.105,17112022,,711000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Keegan Akin,30.0,1.083,170952022,,709500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Ramón Urías,30.8,1.025,170552022,,705500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Tyler Wells,30.6,1.000,170452022,,704500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Joey Krehbiel,32.3,0.014,17012022,,701000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Félix Bautista,29.8,,17002022,,700000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
10,Adley Rutschman,27.1,,17002022,,700000,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3
11,Estimated salaries for other pre-arbitration players,10500000,,,,,,,,,,
