,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Matt Bowman,33.8,4.043,18002024,,800000,ARB 3,FREE AGENT,,,,
1,Albert Suárez,35.5,1.025,18002024,,800000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Adley Rutschman,27.1,2.000,176032024,,760300,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Dean Kremer,29.2,2.112,175662024,,756600,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Emmanuel Rivera,28.7,2.026,17452024,,745000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
5,Gunnar Henderson,23.7,1.036,175622024,,756200,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Kyle Bradish,28.5,1.160,175452024,,754500,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
7,Yennier Cano,31.0,1.065,175232024,,752300,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Colton Cowser,25.0,0.043,174282024,,742800,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
9,Grayson Rodriguez,25.4,0.129,174832024,,748300,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
10,Jordan Westburg,26.1,0.098,174582024,,745800,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
11,Estimated salaries for other pre-arbitration players,1480000,,,,,,,,,,
