,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,Luis Rengifo,28.1,5.043,15952025,,5950000,FREE AGENT,,,,,
1,Taylor Ward,31.3,4.164,178252025,,7825000,ARB 3,FREE AGENT,,,,
2,Brock Burke,28.6,4.045,11152025,,1150000,ARB 3,FREE AGENT,,,,
3,Jo Adell,26.0,3.085,1212025,,2100000,ARB 2,ARB 3,FREE AGENT,,,
4,Reid Detmers,25.7,2.159,118252025,,1825000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
