,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Mike Trout,33.6,9.070,124265201930,35541667,37116667,37116667,37116667,37116667,37116667,37116667,37116667
1,Anthony Rendon,34.8,7.130,7245202026,35000000,28071429,36571429,38571429,38571429,38571429,38571429,FREE AGENT
2,Justin Upton,37.6,13.060,5106201822,21200000,23000000,28000000,FREE AGENT,,,,
3,Dexter Fowler,39.0,11.168,5825201721,16500000,16500000,FREE AGENT,,,,,
4,Alex Cobb,37.5,9.061,457201821,14250000,15000000,FREE AGENT,,,,,
5,Raisel Iglesias,35.2,5.154,324125201921,8041667,9125000,FREE AGENT,,,,,
6,David Fletcher,30.8,2.111,526202125202627,5200000,2000000,4000000,6000000,6000000,6500000,8000000,8500000
7,Shohei Ohtani,30.7,3.000,285202122,4250000,3000000,5500000,ARB 3,FREE AGENT,,,
8,Kurt Suzuki,41.5,13.113,1152021,1500000,1500000,FREE AGENT,,,,,
9,Juan Lagares,36.0,7.005,11252021,1250000,1250000,FREE AGENT,,,,,
10,Steve Cishek,38.8,9.143,112021,1000000,1000000,FREE AGENT,,,,,
