,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Carson Fulmer,31.3,2.108,18002024,,800000,ARB 2,ARB 3,FREE AGENT,,,
1,Matt Thaiss,29.9,2.038,17702024,,770000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Mickey Moniak,26.9,2.027,17702024,,770000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Jo Adell,26.0,2.085,17702024,,770000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,José Soriano,26.4,1.121,17602024,,760000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
5,Reid Detmers,25.7,2.064,17702024,,770000,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
6,Logan O'Hoppe,25.1,1.008,17602024,,760000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Roansy Contreras,25.4,1.039,17552024,,755000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Ben Joyce,24.5,0.127,17422024,,742000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
9,Zach Neto,24.1,0.170,17502024,,750000,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT
10,Nolan Schanuel,23.1,0.045,17502024,,750000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
11,Estimated salaries for other pre-arbitration players,5920000,,,,,,,,,,
