,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Tanner Scott,30.7,5.059,1572024,,5700000,FREE AGENT,,,,,
1,Kyle Higashioka,34.9,5.005,12182024,,2180000,FREE AGENT,,,,,
2,Luis Arraez,28.0,4.121,11062024,,10600000,ARB 3,FREE AGENT,,,,
3,Dylan Cease,29.2,4.089,182024,,8000000,ARB 3,FREE AGENT,,,,
4,Michael King,29.8,4.004,13152024,,3150000,ARB 3,FREE AGENT,,,,
5,Tyler Wade,30.3,4.058,18502024,,850000,ARB 3,FREE AGENT,,,,
6,Jason Adam,33.6,3.132,1272024,,2700000,ARB 2,ARB 3,FREE AGENT,,,
7,Adrian Morejon,26.1,3.140,18502024,,850000,ARB 3,ARB 4,FREE AGENT,,,
