,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Emilio Pagán,29.4,2.091,15912020,,591000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Dan Altavilla,28.1,2.063,157352020,,573500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Joey Lucchesi,27.3,2.000,159932020,,599300,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
3,Fernando Tatis Jr.,21.8,1.000,159182020,,591800,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Chris Paddack,24.7,1.000,158852020,,588500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Tim Hill,30.7,1.112,15862020,,585750,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Austin Adams,29.4,1.015,15712020,,570900,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Francisco Mejía,24.9,1.062,15702020,,569800,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,José Castillo,24.7,1.121,156982020,,569800,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
9,Taylor Williams,29.2,1.078,156742020,,567400,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
10,Austin Nola,30.8,0.106,15712020,,570800,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
11,Trent Grisham,23.9,0.060,15672019,,566800,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
12,Javy Guerra,25.0,0.052,156482020,,564800,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
13,Jake Cronenworth,26.7,0.000,156352020,,563500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
14,Estimated salaries for other pre-arbitration players,,,,,1127000,,,,,,
