"","Year","teamID","num_players","mean_salary","median_salary","sport","Annual_Avg","Inflation_Rate","win_loss"
"161",1991,"CIN",26,1011743.57692308,612500,"MLB",136.191666666667,4.23496396453855,0.45679012345679
"162",1991,"CLE",30,587833.333333333,172500,"MLB",136.191666666667,4.23496396453855,0.351851851851852
"163",1991,"CWS",28,604273.821428571,167500,"MLB",136.191666666667,4.23496396453855,0.537037037037037
"164",1991,"DET",25,953533.32,650000,"MLB",136.191666666667,4.23496396453855,0.518518518518518
"165",1991,"HOU",25,514100,210000,"MLB",136.191666666667,4.23496396453855,0.401234567901235
"166",1991,"KC",21,1253325.42857143,950000,"MLB",136.191666666667,4.23496396453855,0.506172839506173
"167",1991,"LAA",31,1066451.64516129,680000,"MLB",136.191666666667,4.23496396453855,0.5
"168",1991,"LAD",30,1093022.13333333,660000,"MLB",136.191666666667,4.23496396453855,0.574074074074074
"169",1991,"MIL",23,1005021.73913043,835000,"MLB",136.191666666667,4.23496396453855,0.512345679012346
"170",1991,"MIN",24,973409.708333333,612500,"MLB",136.191666666667,4.23496396453855,0.58641975308642
"171",1991,"NYM",26,1253461.57692308,875000,"MLB",136.191666666667,4.23496396453855,0.475308641975309
"172",1991,"NYY",28,976577.428571429,781250,"MLB",136.191666666667,4.23496396453855,0.438271604938272
"173",1991,"OAK",26,1423044.88461538,1075000,"MLB",136.191666666667,4.23496396453855,0.518518518518518
"174",1991,"PHI",30,749577.733333333,362500,"MLB",136.191666666667,4.23496396453855,0.481481481481481
"175",1991,"PIT",27,875358.037037037,6e+05,"MLB",136.191666666667,4.23496396453855,0.604938271604938
"176",1991,"SD",30,738333.366666667,208750,"MLB",136.191666666667,4.23496396453855,0.518518518518518
"177",1991,"SEA",26,603532.038461538,495000,"MLB",136.191666666667,4.23496396453855,0.512345679012346
"178",1991,"SF",26,1191064.07692308,6e+05,"MLB",136.191666666667,4.23496396453855,0.462962962962963
"179",1991,"STL",29,753793.137931034,3e+05,"MLB",136.191666666667,4.23496396453855,0.518518518518518
"180",1991,"TEX",21,867833.333333333,355000,"MLB",136.191666666667,4.23496396453855,0.524691358024691
"181",1991,"TOR",25,796096.68,315000,"MLB",136.191666666667,4.23496396453855,0.561728395061728
"182",1991,"WSH",17,631313.705882353,185000,"MLB",136.191666666667,4.23496396453855,0.438271604938272
"183",1992,"ATL",31,1116946.22580645,6e+05,"MLB",140.316666666667,3.02881967814967,0.604938271604938
"184",1992,"BAL",33,720626.272727273,365000,"MLB",140.316666666667,3.02881967814967,0.549382716049383
"185",1992,"BOS",31,1406793.03225806,525000,"MLB",140.316666666667,3.02881967814967,0.450617283950617
"186",1992,"CHC",28,1065345.92857143,380000,"MLB",140.316666666667,3.02881967814967,0.481481481481481
"187",1992,"CIN",27,1330796.25925926,1e+06,"MLB",140.316666666667,3.02881967814967,0.555555555555556
"188",1992,"CLE",35,267801.257142857,175000,"MLB",140.316666666667,3.02881967814967,0.469135802469136
"189",1992,"CWS",30,1005361.1,386666.5,"MLB",140.316666666667,3.02881967814967,0.530864197530864
"190",1992,"DET",28,975815.5,265000,"MLB",140.316666666667,3.02881967814967,0.462962962962963
"191",1992,"HOU",30,513583.333333333,325000,"MLB",140.316666666667,3.02881967814967,0.5
"192",1992,"KC",28,1210494.07142857,612500,"MLB",140.316666666667,3.02881967814967,0.444444444444444
"193",1992,"LAA",30,1158311.13333333,720000,"MLB",140.316666666667,3.02881967814967,0.444444444444444
"194",1992,"LAD",29,1544419.51724138,1175000,"MLB",140.316666666667,3.02881967814967,0.388888888888889
"195",1992,"MIL",27,1148654.33333333,525000,"MLB",140.316666666667,3.02881967814967,0.567901234567901
"196",1992,"MIN",28,1000994.07142857,437500,"MLB",140.316666666667,3.02881967814967,0.555555555555556
"197",1992,"NYM",26,1715461.61538462,840000,"MLB",140.316666666667,3.02881967814967,0.444444444444444
"198",1992,"NYY",33,1137676.78787879,5e+05,"MLB",140.316666666667,3.02881967814967,0.469135802469136
"199",1992,"OAK",32,1282343.75,642500,"MLB",140.316666666667,3.02881967814967,0.592592592592593
"200",1992,"PHI",30,812794.466666667,251250,"MLB",140.316666666667,3.02881967814967,0.432098765432099
"201",1992,"PIT",28,1212291.67857143,446250,"MLB",140.316666666667,3.02881967814967,0.592592592592593
"202",1992,"SD",28,959077.392857143,492500,"MLB",140.316666666667,3.02881967814967,0.506172839506173
"203",1992,"SEA",29,799304.586206897,560000,"MLB",140.316666666667,3.02881967814967,0.395061728395062
"204",1992,"SF",25,1326526.72,925000,"MLB",140.316666666667,3.02881967814967,0.444444444444444
"205",1992,"STL",29,951166.75862069,5e+05,"MLB",140.316666666667,3.02881967814967,0.512345679012346
"206",1992,"TEX",31,971876.35483871,260000,"MLB",140.316666666667,3.02881967814967,0.475308641975309
"207",1992,"TOR",36,1244129.61111111,706250,"MLB",140.316666666667,3.02881967814967,0.592592592592593
"208",1992,"WSH",27,586012.37037037,2e+05,"MLB",140.316666666667,3.02881967814967,0.537037037037037
"209",1993,"ATL",33,1261861.12121212,725000,"MLB",144.458333333333,2.95165696638557,0.641975308641975
"210",1993,"BAL",32,909265.625,328750,"MLB",144.458333333333,2.95165696638557,0.524691358024691
"211",1993,"BOS",31,1197438.16129032,475000,"MLB",144.458333333333,2.95165696638557,0.493827160493827
"212",1993,"CHC",32,1230833.3125,293750,"MLB",144.458333333333,2.95165696638557,0.518518518518518
"213",1993,"CIN",33,1359989.87878788,450000,"MLB",144.458333333333,2.95165696638557,0.450617283950617
"214",1993,"CLE",40,464025,337500,"MLB",144.458333333333,2.95165696638557,0.469135802469136
"215",1993,"COL",33,313742.424242424,152000,"MLB",144.458333333333,2.95165696638557,0.41358024691358
"216",1993,"CWS",31,1280521.48387097,868333,"MLB",144.458333333333,2.95165696638557,0.580246913580247
"217",1993,"DET",31,1230650.48387097,475000,"MLB",144.458333333333,2.95165696638557,0.524691358024691
"218",1993,"FLA",34,568545.441176471,137000,"MLB",144.458333333333,2.95165696638557,NA
"219",1993,"HOU",29,1041741.37931034,360000,"MLB",144.458333333333,2.95165696638557,0.524691358024691
"220",1993,"KC",32,1292067.71875,452500,"MLB",144.458333333333,2.95165696638557,0.518518518518518
"221",1993,"LAA",32,893385.4375,225000,"MLB",144.458333333333,2.95165696638557,0.438271604938272
"222",1993,"LAD",32,1229124.96875,517500,"MLB",144.458333333333,2.95165696638557,0.5
"223",1993,"MIL",33,721419.212121212,190000,"MLB",144.458333333333,2.95165696638557,0.425925925925926
"224",1993,"MIN",33,855088.878787879,253600,"MLB",144.458333333333,2.95165696638557,0.438271604938272
"225",1993,"NYM",30,1301455.56666667,5e+05,"MLB",144.458333333333,2.95165696638557,0.364197530864198
"226",1993,"NYY",33,1291663.63636364,255000,"MLB",144.458333333333,2.95165696638557,0.54320987654321
"227",1993,"OAK",36,1050342.58333333,362500,"MLB",144.458333333333,2.95165696638557,0.419753086419753
