,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,Christopher Morel,25.8,2.117,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Josh Lowe,27.1,2.093,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Kevin Kelly,27.3,2.000,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Ryan Pepiot,27.6,2.005,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Edwin Uceta,27.2,1.150,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
5,José Caballero,28.6,1.170,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
6,Richie Palacios,27.9,1.156,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
7,Taj Bradley,24.0,1.114,"1 yr, TBD (2025)",,TBD,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Junior Caminero,21.7,0.058,"1 yr, TBD (2025)",,TBD,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Curtis Mead,24.4,0.103,"1 yr, TBD (2025)",,TBD,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
10,Estimated salaries for other pre-arbitration players,15200000,,,,,,,,,,
