,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Burch Smith,30.5,2.095,16802020,,680000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Matt Chapman,27.4,2.109,162352020,,623500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Matt Olson,26.5,2.103,160352020,,603500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Frankie Montas,27.5,2.015,157352020,,573500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Tony Kemp,28.9,2.098,158362019,,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,,
5,J.B. Wendelken,27.5,1.028,156852020,,568500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Lou Trivino,29.0,1.163,156852020,,568500,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
7,Ramón Laureano,26.2,1.059,156852020,,568500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Jesús Luzardo,23.0,0.021,156352020,,563500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Sean Murphy,26.0,0.029,156352020,,563500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
10,Estimated salaries for other pre-arbitration players,,,,,5635000,,,,,,
