,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Marcus Semien,30.1,5.118,1132020,,13000000,FREE AGENT,,,,,
1,Liam Hendriks,31.7,5.164,1532020,,5300000,FREE AGENT,,,,,
2,Robbie Grossman,31.1,5.060,137252020,,3725000,FREE AGENT,,,,,
3,T.J. McFarland,31.3,5.164,1182020,,1800000,FREE AGENT,,,,,
4,Mark Canha,31.6,4.092,1482020,,4800000,ARB 3,FREE AGENT,,,,
5,Sean Manaea,28.7,3.157,13752020,,3750000,ARB 3,ARB 4,FREE AGENT,,,
6,Chris Bassitt,31.6,3.130,12252020,,2250000,ARB 2,ARB 3,FREE AGENT,,,
7,Chad Pinder,28.5,3.047,120252020,,2025000,ARB 2,ARB 3,FREE AGENT,,,
