,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,Shea Langeliers,27.3,2.051,17702025,,770000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,JJ Bleday,27.4,2.055,17702025,,770000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,JP Sears,29.1,2.081,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Ken Waldichuk,27.2,2.035,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Mason Miller,26.6,1.166,17652025,,765000,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
5,Zack Gelof,25.4,1.080,17652025,,765000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Mitch Spence,26.9,1.000,"1 yr, TBD (2025)",,TBD,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Max Schuemann,27.8,1.000,"1 yr, TBD (2025)",,TBD,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Tyler Ferguson,31.5,0.111,17602025,,760000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Michel Otañez,27.7,0.087,"1 yr, TBD (2025)",,TBD,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
10,Jacob Wilson,23.0,0.073,"1 yr, TBD (2025)",,TBD,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
11,Estimated salaries for other pre-arbitration players,14440000,,,,,,,,,,
