,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Tarik Skubal,28.3,2.114,174372023,,743700,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Casey Mize,27.9,2.111,173422023,,734200,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Jake Rogers,29.9,2.040,17262023,,726000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Zach McKinstry,29.9,1.099,173452023,,734500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Matt Manning,27.2,1.098,172922023,,729200,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Matt Vierling,28.5,1.026,172712023,,727100,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Nick Maton,28.1,1.034,172662023,,726600,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Jason Foley,29.4,1.026,172622023,,726200,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Alex Lange,29.5,1.112,17262023,,726000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
9,Akil Baddoo,26.6,1.119,"1 yr, TBD (2023)",,TBD,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
10,Riley Greene,24.5,0.110,172782023,,727800,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
11,Spencer Torkelson,25.6,0.137,172312023,,723100,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
12,Tyler Holton,28.8,0.047,17212023,,721000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
13,Zack Short,29.8,0.102,17202023,,720000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
14,Estimated salaries for other pre-arbitration players,7200000,,,,,,,,,,
