,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Jason Foley,29.4,2.033,176632024,,766300,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Matt Vierling,28.5,2.026,17662024,,766000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Zach McKinstry,29.9,2.099,176442024,,764400,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Will Vest,29.8,2.100,176072024,,760700,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Riley Greene,24.5,1.110,176632024,,766300,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Andy Ibáñez,32.0,1.170,176612024,,766100,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
6,Spencer Torkelson,25.6,1.137,176572024,,765700,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Kerry Carpenter,27.6,1.057,17612024,,761000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Tyler Holton,28.8,1.047,175832024,,758300,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
9,Alex Faedo,29.4,0.169,174662024,,746600,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
10,Beau Brieske,27.0,1.166,17452024,,745000,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
11,Wenceel Pérez,25.4,0.000,17402024,,740000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
12,Parker Meadows,25.4,0.042,174692024,,746900,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4
13,Estimated salaries for other pre-arbitration players,10360000,,,,,,,,,,
