,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Mitch Garver,29.7,2.045,16202020,,620000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Caleb Thielbar,33.7,1.148,12020,,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
2,Jake Cave,27.8,1.072,157252019,,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
3,Luis Arraez,23.5,0.121,15962020,,596000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
4,Cody Stashak,26.3,0.070,15712020,,571000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
5,Randy Dobnak,25.7,0.053,15712020,,571000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
6,Estimated salaries for other pre-arbitration players,,,,,5071500,,,,,,
