,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Gary Sánchez,32.3,5.086,192022,,9000000,FREE AGENT,,,,,
1,Michael Fulmer,32.0,5.157,14952022,,4950000,FREE AGENT,,,,,
2,Gio Urshela,33.5,4.127,16552022,,6550000,ARB 3,FREE AGENT,,,,
3,Tyler Mahle,30.5,4.018,1522022,,5200000,ARB 3,FREE AGENT,,,,
4,Emilio Pagán,33.9,4.091,1232022,,2300000,ARB 3,FREE AGENT,,,,
5,Chris Paddack,29.2,3.000,12252022,,2250000,ARB 2,ARB 3,FREE AGENT,,,
6,Jorge López,32.1,3.102,1152022,,1500000,ARB 2,ARB 3,FREE AGENT,,,
7,Caleb Thielbar,38.1,3.131,1132022,,1300000,ARB 3,ARB 4,FREE AGENT,,,
8,Danny Coulombe,35.4,3.008,197952022,,979500,ARB 2,ARB 3,FREE AGENT,,,
9,Luis Arraez,28.0,2.121,121252022,,2125000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
