,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Brock Stewart,33.5,2.093,19002024,,900000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Bailey Ober,29.7,2.093,176192024,,761850,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Griffin Jax,30.3,2.091,176182024,,761750,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Joe Ryan,28.8,2.033,175892024,,758850,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Trevor Larnach,28.1,2.014,17502024,,750000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
5,Jhoan Duran,27.2,2.000,174722024,,747200,ARB 1,ARB 2,ARB 3,FREE AGENT,,
6,Cole Sands,27.7,1.017,174952024,,749450,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Royce Lewis,25.8,1.142,174572024,,745700,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
8,Matt Wallner,27.3,0.111,174562024,,745550,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
9,Jose Miranda,26.7,1.118,17452024,,745000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
10,Edouard Julien,25.9,0.135,174682024,,746750,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
11,Simeon Woods Richardson,24.5,0.006,17402024,,740000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4
12,Estimated salaries for other pre-arbitration players,2960000,,,,,,,,,,
