,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Josh Donaldson,34.8,7.158,4922020232024,23000000,21000000,21000000,21000000,21000000,16000000,,
1,Jake Odorizzi,30.5,6.042,11782020,17800000,17800000,FREE AGENT,,,,,
2,Nelson Cruz,40.3,12.082,226201920,12000000,12000000,FREE AGENT,,,,,
3,Marwin Gonzalez,31.6,7.133,221201920,10500000,9000000,FREE AGENT,,,,,
4,Miguel Sanó,27.4,4.066,3302020222023,10000000,7000000,11000000,9250000,14000000,,,
5,Michael Pineda,31.7,8.090,2202020212020,7600000,7600000,10000000,FREE AGENT,,,,
6,Homer Bailey,34.4,11.017,172020,7000000,7000000,FREE AGENT,,,,,
7,Max Kepler,27.7,3.152,5352019232024,7000000,6250000,6500000,6750000,8500000,10000000,,
8,Jorge Polanco,27.3,3.024,52575201923202425,5150000,3833333,4333334,5500000,7500000,10500000,12000000,
9,Sergio Romo,37.6,11.097,1520202021,5000000,4750000,5000000,,,,,
10,Alex Avila,33.7,10.061,14252020,4250000,4250000,FREE AGENT,,,,,
11,Kenta Maeda,32.5,4.000,825201623,4125000,4125000,3125000,3125000,3125000,FREE AGENT,,
12,Rich Hill,40.6,10.127,132020,3000000,3000000,FREE AGENT,,,,,
13,Tyler Clippard,35.6,10.134,12752020,2750000,2750000,FREE AGENT,,,,,
