Ranking,Player,2020/21,2020/21(*)
1.,Stephen Curry,43006362,52411485
2.,Russell Westbrook,41358814,50403633
2.,Chris Paul,41358814,50403633
4.,John Wall,41254920,50277018
4.,James Harden,41254920,50277018
6.,Kevin Durant,40108950,48880434
7.,LeBron James,39219566,47796549
8.,Paul George,35450412,43203114
9.,Klay Thompson,35361360,43094587
10.,Mike Conley,34502132,42047453
11.,Jimmy Butler,34379100,41897515
11.,Kawhi Leonard,34379100,41897515
11.,Kemba Walker,34379100,41897515
14.,Tobias Harris,34358850,41872836
15.,Blake Griffin,33900241,41313933
16.,Kyrie Irving,33722850,41097748
17.,Khris Middleton,33051724,40279853
18.,Anthony Davis,32742000,39902395
19.,Damian Lillard,31626953,38543497
20.,Kevin Love,31258256,38094169
21.,Pascal Siakam,30559200,37242235
21.,Ben Simmons,30559200,37242235
23.,Kyle Lowry,30500000,37170089
24.,Steven Adams,29592695,36064364
25.,Joel Embiid,29542010,36002595
25.,Andrew Wiggins,29542010,36002595
25.,Nikola Jokic,29542010,36002595
28.,Devin Booker,29467800,35912155
28.,Karl-Anthony Towns,29467800,35912155
28.,Kristaps Porzingis,29467800,35912155
31.,CJ McCollum,29354152,35773654
32.,Bradley Beal,28751774,35039541
32.,Andre Drummond,28751774,35039540
34.,D'Angelo Russell,28649250,34914596
35.,Gordon Hayward,28500000,34732706
36.,Otto Porter,28489239,34719592
37.,DeMar DeRozan,27739975,33806470
38.,Giannis Antetokounmpo,27528088,33548245
39.,Rudy Gobert,27525281,33544824
40.,Al Horford,27500000,33514014
41.,Brandon Ingram,27285000,33251996
41.,Jamal Murray,27285000,33251996
43.,Jrue Holiday,27026011,32936368
44.,Nikola Vucevic,26000000,31685977
45.,Jaylen Brown,25035118,30510084
46.,Buddy Hield,24931817,30384192
47.,Draymond Green,22246956,27112175
48.,Harrison Barnes,22215909,27074338
49.,Fred VanVleet,21250000,25897193
50.,Victor Oladipo,21000000,25592520
51.,Malcolm Brogdon,20700000,25226913
52.,Julius Randle,19845000,24184931
53.,Domantas Sabonis,19800000,24130090
54.,Gary Harris,19610714,23899409
55.,Zach LaVine,19500000,23764483
55.,Danilo Gallinari,19500000,23764483
57.,Jerami Grant,19050000,23216072
58.,Tim Hardaway Jr,18975000,23124670
59.,Terry Rozier,18900000,23033268
60.,Aaron Gordon,18136364,22102631
61.,Goran Dragic,18000000,21936446
61.,Myles Turner,18000000,21936446
61.,Bogdan Bogdanovic,18000000,21936446
61.,Clint Capela,18000000,21936446
65.,Bojan Bogdanovic,17850000,21753642
66.,LaMarcus Aldridge,17628340,21483506
67.,Gorgui Dieng,17587688,21433964
68.,Evan Fournier,17150000,20900558
69.,Ricky Rubio,17000000,20717754
70.,Eric Bledsoe,16875000,20565418
71.,Eric Gordon,16869267,20558431
72.,Caris LeVert,16203704,19747315
73.,Joe Harris,16071429,19586113
74.,James Johnson,16047100,19556463
75.,Dennis Schroeder,15500000,18889717
76.,Cody Zeller,15415730,18787018
77.,Danny Green,15365853,18726233
78.,Davis Bertans,15000000,18280371
78.,Andre Iguodala,15000000,18280371
78.,Jonas Valanciunas,15000000,18280371
81.,Marcus Morris,14883721,18138663
82.,Rudy Gay,14500000,17671026
83.,Kelly Oubre,14375000,17518689
84.,Dejounte Murray,14286000,17410226
85.,Will Barton,13723214,16724363
86.,Thaddeus Young,13545000,16507175
87.,Patrick Mills,13535714,16495858
88.,Terrence Ross,13500000,16452334
89.,Malik Beasley,13425895,16362023
90.,Patrick Beverley,13333333,16249218
91.,Christian Wood,13015874,15862334
92.,JJ Redick,13013700,15859684
93.,Justise Winslow,13000000,15842988
94.,Marcus Smart,12946428,15777701
95.,Jusuf Nurkic,12888889,15707578
96.,Kelly Olynyk,12819650,15623197
97.,Trevor Ariza,12800000,15599250
98.,Brook Lopez,12697675,15474547
99.,Dion Waiters,12650000,15416446
100.,Cory Joseph,12600000,15355512
101.,Markelle Fultz,12288697,14976129
102.,Taurean Prince,12250000,14928970
103.,Tony Snell,12178571,14841920
104.,Robert Covington,12138345,14792897
105.,Kentavious Caldwell-Pope,12073020,14713286
106.,TJ Warren,12000000,14624297
107.,Larry Nance Jr,11709091,14269769
108.,Nicolas Batum,11608231,14146851
109.,Jordan Clarkson,11500000,14014951
110.,Spencer Dinwiddie,11454048,13958950
111.,Dillon Brooks,11400000,13893082
112.,Dwight Powell,11080125,13503253
113.,Lonzo Ball,11003782,13410215
114.,Norman Powell,10865952,13242242
114.,Josh Richardson,10865952,13242242
116.,Jeremy Lamb,10500000,12796260
117.,DeAndre Jordan,10375678,12644750
118.,Joe Ingles,10363637,12630075
119.,Zion Williamson,10245480,12486078
120.,Paul Millsap,10100000,12308783
121.,Rodney Hood,10047450,12244741
122.,Deandre Ayton,10018200,12209094
123.,Tomas Satoransky,10000000,12186914
124.,Jayson Tatum,9897120,12061535
125.,Anthony Edwards,9757440,11891308
126.,Al-Farouq Aminu,9720900,11846777
127.,Dante Exum,9600000,11699437
128.,George Hill,9590602,11687984
129.,De'Anthony Melton,9571712,11664963
130.,Kyle Anderson,9505100,11583784
131.,Meyers Leonard,9400000,11455699
132.,Derrick Favors,9258000,11282645
132.,Derrick Jones,9258000,11282645
132.,Jae Crowder,9258000,11282645
132.,Montrezl Harrell,9258000,11282645
132.,Serge Ibaka,9258000,11282645
132.,Tristan Thompson,9258000,11282645
138.,Dario Saric,9250000,11272895
139.,Ja Morant,9166800,11171500
140.,Delon Wright,9000000,10968223
141.,Marvin Bagley,8963640,10923911
142.,Cedi Osman,8840580,10773939
143.,Tyus Jones,8817143,10745376
144.,James Wiseman,8730240,10639468
145.,Royce O'Neale,8500000,10358877
146.,Maxi Kleber,8475000,10328410
147.,Thomas Bryant,8333333,10155761
148.,RJ Barrett,8231760,10031975
149.,Jakob Poeltl,8101852,9873657
150.,De'Aaron Fox,8099627,9870946
151.,Luka Doncic,8049360,9809686
152.,Mason Plumlee,8000000,9749531
152.,Louis Williams,8000000,9749531
154.,PJ Tucker,7969537,9712406
155.,LaMelo Ball,7839960,9554492
156.,Seth Curry,7834449,9547776
157.,Derrick Rose,7682926,9363116
158.,Cristiano Felicio,7529020,9175552
159.,Rajon Rondo,7500000,9140185
160.,De'Andre Hunter,7422000,9045127
161.,Jonathan Isaac,7362565,8972695
162.,Doug McDermott,7333333,8937070
163.,Robin Lopez,7300000,8896447
164.,Jaren Jackson Jr,7257360,8844482
165.,JaMychal Green,7199760,8774285
166.,Nemanja Bjelica,7150000,8713643
167.,Patrick Williams,7068360,8614149
168.,Aron Baynes,7000000,8530840
168.,Darius Miller,7000000,8530840
168.,Ivica Zubac,7000000,8530840
171.,Jabari Parker,6930729,8446419
