Ranking,Player,2018/19,2018/19(*)
1.,Stephen Curry,37457154,46700853
2.,Russell Westbrook,35665000,44466430
3.,LeBron James,35654150,44452903
3.,Chris Paul,35654150,44452903
5.,Kyle Lowry,32700000,40769726
6.,Blake Griffin,31873932,39739800
7.,Gordon Hayward,31214295,38917377
8.,James Harden,30570000,38114083
9.,Paul George,30560700,38102488
10.,Mike Conley,30521115,38053134
11.,Kevin Durant,30000000,37403418
12.,Paul Millsap,29230769,36444356
13.,Al Horford,28928710,36067754
14.,Damian Lillard,27977689,34882040
15.,DeMar DeRozan,27739975,34585663
16.,Chris Bosh,26837720,33460749
17.,Jrue Holiday,26641111,33215620
18.,Otto Porter,26011913,32431148
19.,CJ McCollum,25759766,32116776
20.,Joel Embiid,25467250,31752073
20.,Andrew Wiggins,25467250,31752073
20.,Nikola Jokic,25467250,31752073
23.,Anthony Davis,25434263,31710946
24.,Bradley Beal,25434262,31710944
24.,Andre Drummond,25434262,31710944
26.,Hassan Whiteside,24434262,30464164
27.,Dwight Howard,24256725,30242814
28.,Steven Adams,24157304,30118858
28.,Giannis Antetokounmpo,24157304,30118858
30.,Marc Gasol,24119025,30071132
30.,Kevin Love,24119025,30071132
32.,Harrison Barnes,24107258,30056461
32.,Chandler Parsons,24107258,30056461
34.,Nicolas Batum,24000000,29922734
35.,Rudy Gobert,23491573,29288837
36.,Kawhi Leonard,23114066,28818169
37.,DeAndre Jordan,22897200,28547785
38.,LaMarcus Aldridge,22347015,27861825
39.,Serge Ibaka,21666667,27013580
40.,Aaron Gordon,21590909,26919126
41.,Danilo Gallinari,21587579,26914974
42.,Victor Oladipo,21000000,26182392
43.,Ryan Anderson,20421546,25461187
44.,Joakim Noah,20261172,25261235
45.,Kyrie Irving,20099189,25059279
46.,Jabari Parker,20000000,24935612
47.,Jimmy Butler,19841627,24738155
48.,Zach LaVine,19500000,24312221
49.,Wesley Matthews,19360228,24137956
50.,Allen Crabbe,19332500,24103386
51.,Enes Kanter,19264603,24018733
52.,Tyler Johnson,19245370,23994754
53.,John Wall,19169800,23900535
54.,Jeff Teague,19000000,23688831
