Ranking,Player,1996/97,1996/97(*)
1.,Michael Jordan,30140000,60429065
2.,Horace Grant,14857000,29787479
3.,Reggie Miller,11250000,22555639
4.,Shaquille O'Neal,10714000,21480988
5.,Gary Payton,10212000,20474506
6.,David Robinson,9952000,19953220
7.,Juwan Howard,9750000,19548221
8.,Hakeem Olajuwon,9655000,19357751
9.,Alonzo Mourning,9380000,18806391
10.,Dennis Rodman,9000000,18044511
11.,Dikembe Mutombo,8013000,16065630
12.,Chris Webber,8000000,16039566
13.,Kevin Johnson,7000000,14034620
13.,Elden Campbell,7000000,14034620
13.,Latrell Sprewell,7000000,14034620
13.,Otis Thorpe,7000000,14034620
17.,Danny Manning,6833000,13699794
18.,Derrick Coleman,6739000,13511329
19.,Anfernee Hardaway,6655000,13342914
20.,Dale Davis,6508000,13048186
21.,John Stockton,6000000,12029674
22.,Clyde Drexler,5500000,11027201
23.,Sean Elliott,5333000,10692375
24.,Dino Radja,5313000,10652276
25.,Antonio Davis,5200000,10425717
26.,Shawn Bradley,5130000,10285371
27.,Grant Hill,5025000,10074852
28.,Larry Johnson,5004000,10032748
29.,Allan Houston,5000000,10024728
29.,Tom Gugliotta,5000000,10024728
31.,A.C. Green,4851000,9725991
32.,Vlade Divac,4718000,9459334
33.,Charles Barkley,4695000,9413220
34.,Karl Malone,4657000,9337032
35.,Danny Ferry,4643000,9308963
36.,Glenn Robinson,4640000,9302948
37.,Steve Smith,4500000,9022255
37.,Christian Laettner,4500000,9022255
39.,Jason Kidd,4408000,8837800
40.,Kenny Anderson,4175000,8370648
41.,John Williams,4151000,8322529
42.,Harvey Grant,4111000,8242332
43.,Chris Dudley,4100000,8220277
44.,Glen Rice,4002000,8023792
45.,Brian Shaw,4000000,8019783
45.,Rik Smits,4000000,8019783
47.,Toni Kukoc,3960000,7939585
48.,Jim Jackson,3900000,7819288
49.,Ron Harper,3840000,7698991
50.,Jamal Mashburn,3833000,7684957
51.,Kendall Gill,3800000,7618793
52.,Nick Anderson,3790000,7598744
53.,Billy Owens,3773000,7564660
54.,Vin Baker,3765000,7548620
55.,Rony Seikaly,3752000,7522556
56.,Isaiah Rider,3610000,7237854
57.,Sherman Douglas,3594000,7205775
58.,Mitch Richmond,3575000,7167681
59.,Charles Smith,3557000,7131592
60.,Tyrone Hill,3480000,6977211
61.,Wayman Tisdale,3475000,6967186
62.,Mark Price,3409000,6834860
63.,Bryant Stith,3400000,6816815
63.,Dana Barros,3400000,6816815
65.,Donyell Marshall,3360000,6736617
66.,Detlef Schrempf,3333000,6682484
67.,Clarence Weatherspoon,3300000,6616320
67.,Shawn Kemp,3300000,6616320
69.,LaPhonso Ellis,3294000,6604291
70.,Stanley Roberts,3250000,6516073
70.,Dee Brown,3250000,6516073
72.,Calbert Cheaney,3200000,6415826
73.,Lionel Simmons,3194000,6403796
74.,Olden Polynice,3140000,6295529
75.,Sharone Wright,3100000,6215331
75.,Mahmoud Abdul-Rauf,3100000,6215331
75.,Loy Vaught,3100000,6215331
78.,Joe Dumars,3075000,6165208
79.,Bobby Hurley,3068000,6151173
80.,Chris Gatling,3047000,6109069
81.,Rod Strickland,3036000,6087015
82.,Dennis Scott,3000000,6014837
82.,Jim McIlvaine,3000000,6014837
82.,Patrick Ewing,3000000,6014837
82.,Derrick McKey,3000000,6014837
86.,Clifford Robinson,2924000,5862461
87.,Todd Day,2915000,5844416
88.,Stojko Vrankovic,2900000,5814342
88.,Mark Jackson,2900000,5814342
90.,Ken Norman,2869000,5752189
91.,Chris Mullin,2844000,5702065
92.,Mookie Blaylock,2800000,5613848
93.,Joe Smith,2794000,5601818
94.,Luc Longley,2790000,5593798
95.,Anthony Mason,2777000,5567734
96.,Sam Perkins,2730000,5473501
97.,Pooh Richardson,2721000,5455457
98.,Lamond Murray,2700000,5413353
98.,Robert Pack,2700000,5413353
100.,Felton Spencer,2694000,5401323
101.,Arvydas Sabonis,2640000,5293056
102.,Hersey Hawkins,2604000,5220878
103.,Chris Childs,2600000,5212858
103.,Charles Oakley,2600000,5212858
105.,Antonio McDyess,2545000,5102586
106.,Chris Morris,2500000,5012364
106.,Tim Hardaway,2500000,5012364
106.,Sarunas Marciulionis,2500000,5012364
109.,Stacey Augmon,2480000,4972265
110.,Micheal Williams,2475000,4962240
111.,Terry Mills,2457000,4926151
112.,Marcus Camby,2434000,4880037
113.,Scott Williams,2400000,4811869
113.,Cedric Ceballos,2400000,4811869
113.,BJ Armstrong,2400000,4811869
116.,Jeff Hornacek,2396000,4803850
117.,Gheorghe Muresan,2363000,4737686
118.,Dan Majerle,2350000,4711622
119.,Andrew Lang,2332000,4675533
120.,Armen Gilliam,2317000,4645459
121.,Antoine Carr,2300000,4611375
121.,Terry Davis,2300000,4611375
123.,Jerry Stackhouse,2286000,4583305
124.,Rodney Rogers,2280000,4571276
124.,Kevin Edwards,2280000,4571276
126.,Allen Iverson,2267000,4545212
127.,Grant Long,2260000,4531177
128.,Scottie Pippen,2250000,4511127
128.,Jayson Williams,2250000,4511127
130.,John Salley,2225000,4461004
131.,Duane Causwell,2215000,4440954
