Ranking,Player,2004/05,2004/05(*)
1.,Shaquille O'Neal,27696430,45869930
2.,Dikembe Mutombo,19485719,32271616
3.,Chris Webber,17531250,29034688
3.,Allan Houston,17531250,29034688
5.,Kevin Garnett,16000000,26498682
6.,Jermaine O'Neal,14796000,24504656
6.,Jason Kidd,14796000,24504656
8.,Shareef Abdur-Rahim,14625000,24221451
8.,Allen Iverson,14625000,24221451
8.,Ray Allen,14625000,24221451
8.,Stephon Marbury,14625000,24221451
8.,Anfernee Hardaway,14625000,24221451
8.,Latrell Sprewell,14625000,24221451
8.,Zydrunas Ilgauskas,14625000,24221451
8.,Antoine Walker,14625000,24221451
16.,Michael Finley,14609375,24195574
17.,Jalen Rose,14487000,23992900
17.,Grant Hill,14487000,23992900
17.,Keith Van Horn,14487000,23992900
17.,Tracy McGrady,14487000,23992900
21.,Tim Duncan,14260641,23618012
22.,Kobe Bryant,14175000,23476176
23.,Eddie Jones,13455000,22283735
24.,Brian Grant,13233434,21916785
25.,Antonio Davis,12925000,21405966
26.,Tim Thomas,12900000,21364562
27.,Antawn Jamison,12584688,20842352
27.,Dirk Nowitzki,12584688,20842352
27.,Vince Carter,12584688,20842352
27.,Paul Pierce,12584688,20842352
31.,Damon Stoudamire,12500000,20702095
32.,Shawn Marion,12330000,20420546
32.,Steve Francis,12330000,20420546
32.,Baron Davis,12330000,20420546
35.,Glenn Robinson,12071250,19992013
36.,Elton Brand,12056000,19966756
37.,Nick Van Exel,11933252,19763465
38.,Carlos Boozer,10967500,18164018
39.,Theo Ratliff,10937500,18114333
40.,Lamar Odom,10548596,17470243
41.,Mike Bibby,10500000,17389760
42.,Dale Davis,10068750,16675537
43.,Rasheed Wallace,9720000,16097949
44.,Raef LaFrentz,9714538,16088903
45.,Kerry Kittles,9566667,15844004
46.,Kenyon Martin,9454546,15658313
47.,Gilbert Arenas,9389600,15550751
48.,Jamal Mashburn,9300000,15402358
49.,Wally Szczerbiak,9000000,14905508
50.,Vin Baker,8833333,14629479
51.,Steve Nash,8750000,14491466
52.,Jamaal Magloire,8533333,14132629
53.,Marcus Camby,8500000,14077424
54.,Maurice Taylor,8450000,13994616
55.,Derek Anderson,8443500,13983851
56.,Alan Henderson,8273125,13701681
57.,Austin Croshere,8260000,13679944
58.,Shandon Anderson,8173699,13537015
59.,PJ Brown,8000000,13249341
60.,Kelvin Cato,7992000,13236091
61.,Brad Miller,7875000,13042320
62.,Richard Hamilton,7812500,12938809
63.,Rashard Lewis,7792208,12905202
64.,Bonzi Wells,7700000,12752490
64.,Erick Dampier,7700000,12752490
66.,Bo Outlaw,7632904,12641367
67.,Doug Christie,7550000,12504065
68.,Mehmet Okur,7500000,12421257
68.,Jason Terry,7500000,12421257
70.,Jerry Stackhouse,7437500,12317746
71.,Andre Miller,7366667,12200435
72.,Lorenzen Wright,7150000,11841598
73.,Corey Maggette,7000000,11593173
73.,Ben Wallace,7000000,11593173
75.,Predrag Stojakovic,6875000,11386152
75.,Jason Williams,6875000,11386152
77.,Darius Miles,6750000,11179131
77.,Tariq Abdul-Wahad,6750000,11179131
79.,Manu Ginobili,6603500,10936502
80.,Christian Laettner,6600000,10930705
81.,Desmond Mason,6529630,10814161
82.,Jonathan Bender,6525000,10806493
83.,Adonal Foyle,6500000,10765089
84.,Al Harrington,6325000,10475260
85.,Howard Eisley,6301923,10437040
86.,Sam Cassell,6250000,10351047
87.,Vitaly Potapenko,6191250,10253747
88.,Jerome Williams,6187500,10247537
89.,Jahidi White,6166466,10212701
90.,Radoslav Nesterovic,6160000,10201992
91.,Metta World Peace,6157895,10198506
92.,Kenny Thomas,6000000,9937005
92.,Mike Miller,6000000,9937005
94.,Stromile Swift,5993105,9925586
95.,Calvin Booth,5900700,9772548
96.,Ruben Patterson,5899400,9770395
96.,Todd MacCulloch,5899400,9770395
96.,Joe Smith,5899400,9770395
96.,Clarence Weatherspoon,5899400,9770395
100.,Cuttino Mobley,5884500,9745718
100.,Kurt Thomas,5884500,9745718
102.,Alvin Williams,5850000,9688580
103.,Danny Fortson,5818136,9635808
104.,Quentin Richardson,5800000,9605772
105.,Scot Pollard,5792250,9592936
106.,Jamal Crawford,5760000,9539525
107.,Corliss Williamson,5500000,9108921
107.,Aaron McKie,5500000,9108921
107.,Reggie Miller,5500000,9108921
110.,Malik Rose,5462500,9046815
111.,Larry Hughes,5455200,9034725
111.,Jerome James,5455200,9034725
111.,Chauncey Billups,5455200,9034725
111.,Ricky Davis,5455200,9034725
115.,Alonzo Mourning,5408700,8957713
115.,Michael Olowokandi,5408700,8957713
115.,James Posey,5408700,8957713
115.,Juwan Howard,5408700,8957713
115.,Scottie Pippen,5408700,8957713
115.,Gary Payton,5408700,8957713
121.,Kwame Brown,5361873,8880160
122.,Clifford Robinson,5287500,8756986
123.,Nazr Mohammed,5250000,8694880
124.,Stephen Jackson,5100000,8446454
125.,Eddie Robinson,5055556,8372848
126.,Donyell Marshall,5023850,8320337
127.,Etan Thomas,4903000,8120189
127.,Hidayet Turkoglu,4903000,8120189
127.,Troy Hudson,4903000,8120189
127.,Brian Cardinal,4903000,8120189
127.,Vlade Divac,4903000,8120189
127.,Derek Fisher,4903000,8120189
127.,Antonio McDyess,4903000,8120189
127.,Marquis Daniels,4903000,8120189
127.,Mark Blount,4903000,8120189
136.,Lamond Murray,4875000,8073817
136.,Eric Snow,4875000,8073817
138.,Ervin Johnson,4837633,8011931
139.,Tyson Chandler,4801102,7951429
140.,Tony Battie,4800000,7949604
140.,Rick Fox,4800000,7949604
140.,Michael Stewart,4800000,7949604
143.,Anthony Mason,4710435,7801269
144.,Matt Harpring,4690000,7767426
145.,Devean George,4546000,7528938
146.,Brian Skinner,4500000,7452754
146.,Jeff Foster,4500000,7452754
146.,Derrick Coleman,4500000,7452754
149.,David Wesley,4455000,7378226
150.,Yao Ming,4436880,7348217
151.,Morris Peterson,4400000,7287137
151.,Elden Campbell,4400000,7287137
153.,Trenton Hassell,4350000,7204329
154.,LeBron James,4320360,7155240
155.,Pau Gasol,4318481,7152128
156.,Brent Barry,4264900,7063389
157.,Marc Jackson,4225000,6997308
158.,Chucky Atkins,4200000,6955904
159.,Dwight Howard,4179720,6922316
160.,Jason Caffey,4148148,6870028
161.,Gordan Giricek,4000000,6624670
161.,Carlos Arroyo,4000000,6624670
161.,Greg Ostertag,4000000,6624670
161.,Shawn Bradley,4000000,6624670
165.,Eddy Curry,3896402,6453094
166.,Darko Milicic,3865440,6401816
167.,Moochie Norris,3850000,6376245
168.,Eduardo Najera,3809524,6309210
169.,Aaron Williams,3790257,6277300
170.,Emeka Okafor,3739680,6193536
171.,Jeff McInnis,3600000,5962203
172.,Eric Williams,3580000,5929080
173.,Mike Dunleavy,3565080,5904370
174.,Jason Richardson,3534018,5852926
175.,Rafer Alston,3500000,5796586
176.,Carmelo Anthony,3471360,5749154
177.,Evan Eschmeyer,3407655,5643647
178.,Chris Mihm,3371393,5583591
179.,Ben Gordon,3358320,5561940
180.,Speedy Claxton,3300000,5465353
181.,Voshon Lenard,3250000,5382544
181.,Chris Crawford,3250000,5382544
183.,Matt Maloney,3237500,5361842
184.,Drew Gooden,3214080,5323055
185.,Shane Battier,3212402,5320276
186.,Bob Sura,3200000,5299736
187.,Bobby Jackson,3150000,5216928
187.,Othella Harrington,3150000,5216928
189.,Chris Bosh,3129720,5183340
190.,Mike James,3100000,5134119
191.,Shaun Livingston,3027840,5014610
192.,Bruce Bowen,3000000,4968502
192.,Arvydas Sabonis,3000000,4968502
192.,George Lynch,3000000,4968502
192.,Toni Kukoc,3000000,4968502
192.,Michael Redd,3000000,4968502
192.,Stanislav Medvedenko,3000000,4968502
198.,Pat Garrity,2937500,4864992
199.,Nikoloz Tskitishvili,2910600,4820441
200.,Iakovos Tsakalidis,2900000,4802886
201.,Dwyane Wade,2834160,4693844
202.,Eric Piatkowski,2750000,4554460
203.,Devin Harris,2741880,4541012
204.,Kevin Ollie,2704350,4478856
204.,Ira Newble,2704350,4478856
206.,Rodney Rogers,2700000,4471652
206.,Tom Gugliotta,2700000,4471652
206.,Tony Delk,2700000,4471652
209.,DeSagana Diop,2695164,4463643
210.,Greg Buckner,2647824,4385240
211.,Dajuan Wagner,2643600,4378244
212.,Chris Kaman,2574240,4263372
213.,Predrag Drobnjak,2550000,4223227
214.,Andres Nocioni,2525000,4181823
215.,Damon Jones,2503000,4145387
216.,DeShawn Stevenson,2500000,4140419
216.,Andrew DeClercq,2500000,4140419
216.,Zeljko Rebraca,2500000,4140419
216.,Earl Boykins,2500000,4140419
216.,Lucious Harris,2500000,4140419
221.,Josh Childress,2490360,4124453
222.,Jim Jackson,2420000,4007925
223.,Michael Doleac,2400000,3974802
224.,Joe Johnson,2358954,3906823
225.,Kirk Hinrich,2349840,3891728
226.,Kedrick Brown,2332388,3862825
227.,Vladimir Radmanovic,2300984,3810815
228.,Darrell Armstrong,2275000,3767781
229.,Luol Deng,2273400,3765131
230.,Richard Jefferson,2266794,3754190
231.,Nenê,2260280,3743402
232.,Troy Murphy,2231808,3696248
233.,Chris Wilcox,2210880,3661587
234.,Antonio Daniels,2200000,3643568
234.,Anthony Johnson,2200000,3643568
236.,TJ Ford,2152800,3565397
237.,Marko Jaric,2100000,3477952
238.,Rafael Araujo,2082720,3449333
239.,Amare Stoudemire,2032200,3365663
240.,Mike Sweetney,1978920,3277423
241.,Marcus Haislip,1976380,3273215
242.,Nick Collison,1969680,3262120
243.,Malik Allen,1950625,3230561
244.,Caron Butler,1930680,3197529
245.,Andre Iguodala,1914480,3170699
246.,Jason Collins,1887864,3126619
247.,Jarvis Hayes,1879920,3113462
248.,Jared Jeffries,1834080,3037543
249.,Luke Jackson,1818720,3012105
250.,Jon Barry,1800000,2981101
251.,Rodney White,1797845,2977532
252.,Mickael Pietrus,1785960,2957849
253.,Jerome Moiso,1760000,2914855
254.,Melvin Ely,1742400,2885706
255.,Brendan Haywood,1735305,2873955
256.,Andris Biedrins,1727760,2861460
257.,Steven Hunter,1720046,2848683
258.,Jarron Collins,1700000,2815484
258.,Charlie Ward,1700000,2815484
258.,Cezary Trybanski,1700000,2815484
261.,Jake Voskuhl,1687500,2794782
261.,Jumaine Jones,1687500,2794782
263.,Andrei Kirilenko,1671694,2768605
264.,Gerald Wallace,1652453,2736739
265.,Erick Strickland,1650000,2732676
266.,Robert Swift,1641360,2718367
267.,Marcus Banks,1611840,2669477
268.,Anthony Peeler,1600000,2649868
268.,Darius Songaila,1600000,2649868
268.,Ibo Kutluay,1600000,2649868
268.,Chris Andersen,1600000,2649868
268.,Fred Hoiberg,1600000,2649868
268.,Maurice Williams,1600000,2649868
268.,Wesley Person,1600000,2649868
268.,Tyronn Lue,1600000,2649868
268.,Calbert Cheaney,1600000,2649868
268.,Lindsey Hunter,1600000,2649868
268.,Scott Williams,1600000,2649868
268.,Robert Traylor,1600000,2649868
268.,Ron Mercer,1600000,2649868
281.,Samuel Dalembert,1599549,2649121
282.,Fred Jones,1572480,2604290
283.,Sebastian Telfair,1559280,2582429
284.,Jamaal Tinsley,1554326,2574224
284.,Primoz Brezec,1554326,2574224
286.,Jay Williams,1550551,2567972
287.,Tony Parker,1545441,2559509
288.,Luke Ridnour,1531200,2535923
289.,Zach Randolph,1504272,2491326
290.,Joel Przybilla,1500000,2484251
290.,Jason Collier,1500000,2484251
292.,Bostjan Nachbar,1493880,2474115
293.,Kris Humphries,1481400,2453446
294.,Earl Watson,1458000,2414692
295.,Reece Gaines,1454640,2409127
296.,Mike Wilks,1440092,2385032
297.,Jiri Welsch,1419240,2350499
298.,Al Jefferson,1407240,2330625
299.,Jason Hart,1400000,2318634
300.,Eddie House,1388327,2299301
301.,Troy Bell,1381920,2288691
302.,Juan Dixon,1348200,2232845
303.,Walter McCarty,1337500,2215124
304.,Kirk Snyder,1336920,2214163
305.,Raja Bell,1320000,2186141
305.,Daniel Santiago,1320000,2186141
307.,Zarko Cabarkapa,1312800,2174216
308.,Kevin Willis,1300000,2153017
309.,Curtis Borchardt,1280880,2121351
310.,Nate Huffman,1280000,2119894
311.,Josh Smith,1270080,2103465
312.,David West,1247160,2065506
313.,Ryan Humphrey,1223160,2025758
314.,JR Smith,1206600,1998331
315.,John Amaechi,1200000,1987401
315.,Rasual Butler,1200000,1987401
317.,Aleksandar Pavlovic,1191000,1972495
318.,Kareem Rush,1174200,1944672
319.,Dorell Wright,1152240,1908302
320.,Dahntay Jones,1143360,1893595
321.,Qyntel Woods,1127280,1866964
322.,Jameer Nelson,1106160,1831986
323.,Tony Massenburg,1100000,1821784
323.,Robert Horry,1100000,1821784
323.,Vladimir Stepania,1100000,1821784
323.,Stacey Augmon,1100000,1821784
323.,Bryon Russell,1100000,1821784
323.,Avery Johnson,1100000,1821784
323.,Steve Smith,1100000,1821784
323.,Kenny Anderson,1100000,1821784
331.,Boris Diaw,1097640,1817875
332.,Casey Jacobsen,1082160,1792238
333.,Pavel Podkolzin,1061880,1758651
334.,Zoran Planinic,1053720,1745136
335.,Tayshaun Prince,1038960,1720691
336.,Viktor Khryapa,1019400,1688297
337.,Travis Outlaw,1011600,1675379
338.,Travis Best,1000000,1656167
339.,Raul Lopez,997320,1651729
340.,Samaki Walker,995046,1647962
341.,Brian Cook,971160,1608403
342.,Frank Williams,957480,1585747
343.,Nenad Krstic,939480,1555936
343.,Delonte West,939480,1555936
345.,Rick Brunson,932546,1544452
345.,Darvin Ham,932546,1544452
345.,Amal McCaskill,932546,1544452
345.,Brevin Knight,932546,1544452
345.,Jacque Vaughn,932546,1544452
350.,John Salmons,925680,1533081
351.,Kendall Gill,912195,1510747
352.,Carlos Delfino,901920,1493730
352.,Tony Allen,901920,1493730
354.,Ndudi Ebi,901440,1492935
355.,Maciej Lampe,900000,1490550
355.,Brian Scalabrine,900000,1490550
357.,Chris Jefferies,899040,1488960
358.,Dan Dickau,893400,1479620
359.,Reggie Evans,880000,1457427
360.,Kendrick Perkins,875400,1449809
361.,Kevin Martin,872040,1444244
362.,Bruno Sundov,870046,1440942
362.,Mikki Moore,870046,1440942
362.,Mark Pope,870046,1440942
362.,Adrian Griffin,870046,1440942
366.,Leandro Barbosa,870000,1440865
367.,Josh Howard,863640,1430332
368.,Sasha Vujacic,846840,1402508
369.,Michael Curry,845122,1399663
370.,Beno Udrih,841680,1393963
371.,David Harrison,835560,1383827
372.,Bobby Simmons,825000,1366338
373.,Milt Palacio,807546,1337431
373.,Anthony Carter,807546,1337431
373.,Zendon Hamilton,807546,1337431
373.,Scott Padgett,807546,1337431
377.,Ryan Bowen,807046,1336603
378.,Didier Ilunga-Mbenga,800000,1324934
379.,Anderson Varejao,788000,1305060
380.,Loren Woods,755000,1250406
381.,Keith McLeod,750000,1242125
381.,Mamadou N'diaye,750000,1242125
383.,Michael Ruffin,745046,1233921
383.,Laron Profit,745046,1233921
383.,Sean Marks,745046,1233921
383.,Lee Nailon,745046,1233921
383.,Mark Madsen,745046,1233921
383.,Wang Zhizhi,745046,1233921
383.,Keyon Dooling,745046,1233921
383.,Ansu Sesay,745046,1233921
383.,DerMarr Johnson,745046,1233921
383.,Rodney Buford,745046,1233921
393.,Mateen Cleaves,735960,1218873
393.,Marcus Fizer,735960,1218873
395.,Aleksandar Radojevic,720046,1192516
395.,Michael Bradley,720046,1192516
395.,Jamison Brewer,720046,1192516
395.,Tierre Brown,720046,1192516
395.,Eddie Gill,720046,1192516
395.,Jabari Smith Sr,720046,1192516
401.,Devin Brown,695046,1151112
401.,Maurice Evans,695046,1151112
401.,Matt Barnes,695046,1151112
401.,Richie Frahm,695046,1151112
401.,Ronald Murray,695046,1151112
401.,Junior Harrington,695046,1151112
401.,Eddie Griffin,695046,1151112
401.,Dan Gadzuric,695046,1151112
401.,Smush Parker,695046,1151112
401.,Jannero Pargo,695046,1151112
401.,Tamar Slay,695046,1151112
401.,Jamal Sampson,695046,1151112
413.,Steve Blake,620046,1026900
413.,Linton Johnson,620046,1026900
413.,Willie Green,620046,1026900
413.,Kyle Korver,620046,1026900
413.,Josh Davis,620046,1026900
413.,Brandon Hunter,620046,1026900
413.,Alex Garcia,620046,1026900
413.,Zaza Pachulia,620046,1026900
413.,Udonis Haslem,620046,1026900
413.,Jerome Beasley,620046,1026900
413.,Luke Walton,620046,1026900
413.,Quinton Ross,620046,1026900
413.,James Jones,620046,1026900
413.,Ronald Dupree,620046,1026900
413.,Francisco Elson,620046,1026900
413.,Tommy Smith,620046,1026900
413.,Theron Smith,620046,1026900
413.,Keith Bogans,620046,1026900
413.,Jason Kapono,620046,1026900
432.,Peter John Ramos,600000,993700
433.,Lonny Baxter,542475,898429
434.,Efthimios Rentzias,516865,856015
435.,Kaniel Dickens,483938,801482
436.,Lionel Chalmers,450000,745275
437.,Royal Ivey,425000,703871
437.,Donta Smith,425000,703871
439.,Pape Sow,385277,638083
439.,Matt Bonner,385277,638083
439.,Romain Sato,385277,638083
439.,Erik Daniels,385277,638083
439.,Jackson Vroman,385277,638083
439.,Mario Kasun,385277,638083
439.,Damien Wilkins,385277,638083
439.,Trevor Ariza,385277,638083
439.,Antonio Burks,385277,638083
439.,Andre Emmett,385277,638083
439.,John Edwards,385277,638083
439.,Andre Barrett,385277,638083
439.,Luis Flores,385277,638083
439.,Horace Jenkins,385277,638083
439.,Arthur Johnson,385277,638083
439.,Jared Reiner,385277,638083
439.,Chris Duhon,385277,638083
439.,Bernard Robinson,385277,638083
439.,Justin Reed,385277,638083
458.,Matt Freije,380579,630302
459.,Corsley Edwards,319498,529142
460.,Tony Bobbitt,305403,505798
461.,Roger Mason,203428,336910
462.,Jelani McCoy,167418,277272
