Ranking,Player,2007/08,2007/08(*)
1.,Kevin Garnett,23750000,35812741
2.,Michael Finley,21696750,32716634
3.,Shaquille O'Neal,20000000,30158097
4.,Jermaine O'Neal,19728000,29747947
4.,Jason Kidd,19728000,29747947
6.,Chris Webber,19602173,29558211
7.,Kobe Bryant,19490625,29390008
8.,Tim Duncan,19014188,28671587
9.,Tracy McGrady,19014187,28671585
10.,Stephon Marbury,19012500,28669041
10.,Allen Iverson,19012500,28669041
12.,Steve Francis,17500000,26388334
13.,Shawn Marion,16440000,24789956
13.,Baron Davis,16440000,24789956
15.,Antawn Jamison,16360094,24669465
15.,Dirk Nowitzki,16360094,24669465
15.,Paul Pierce,16360094,24669465
18.,Ray Allen,16000000,24126478
19.,Ben Wallace,15500000,23372525
20.,Elton Brand,15344000,23137292
21.,Rashard Lewis,14880000,22437624
22.,Michael Redd,14520000,21894779
23.,Amare Stoudemire,13762775,20752955
23.,Yao Ming,13762775,20752955
25.,Andrei Kirilenko,13735000,20711073
25.,Pau Gasol,13735000,20711073
27.,Mike Bibby,13500000,20356716
28.,Joe Johnson,13488377,20339189
29.,Zach Randolph,13333333,20105398
30.,Vince Carter,13320000,20085293
31.,Kenyon Martin,13250000,19979739
32.,Lamar Odom,13248596,19977622
33.,Dwyane Wade,13041250,19664964
33.,Carmelo Anthony,13041250,19664964
33.,LeBron James,13041250,19664964
36.,Wally Szczerbiak,12775000,19263484
37.,Rasheed Wallace,12540000,18909127
38.,Chris Bosh,12455000,18780955
39.,Raef LaFrentz,12440787,18759523
40.,Richard Jefferson,12200000,18396439
41.,Larry Hughes,12000084,18094985
42.,Gilbert Arenas,11950400,18020066
43.,Theo Ratliff,11666666,17592222
44.,Predrag Stojakovic,11664000,17588202
45.,Steve Nash,11375000,17152418
46.,Carlos Boozer,11260483,16979737
47.,Marcus Camby,11250000,16963930
47.,Kirk Hinrich,11250000,16963930
49.,Jason Richardson,11111110,16754497
50.,Derek Fisher,10723900,16170620
51.,David West,10650000,16059187
52.,Erick Dampier,10590500,15969466
53.,Tony Parker,10500000,15833001
53.,Brad Miller,10500000,15833001
55.,Samuel Dalembert,10250000,15456025
55.,Tyson Chandler,10250000,15456025
