Ranking,Player,1994/95,1994/95(*)
1.,Magic Johnson,14660000,31120307
2.,David Robinson,7300000,15496469
3.,James Worthy,7250000,15390329
4.,A.C. Green,6472600,13740061
5.,Detlef Schrempf,5000000,10614020
6.,Shaquille O'Neal,4800000,10189459
7.,Patrick Ewing,4486700,9524384
8.,Anfernee Hardaway,4305000,9138671
9.,Derrick Coleman,4212000,8941250
10.,John Williams,4161000,8832987
11.,Sam Perkins,4126600,8759963
12.,Dale Davis,4050000,8597356
13.,Danny Ferry,4042000,8580373
14.,Charles Barkley,4030000,8554900
15.,Clarence Weatherspoon,4000000,8491216
16.,Michael Jordan,3850000,8172795
17.,Alonzo Mourning,3840000,8151567
18.,Brad Daugherty,3800000,8066655
19.,Benoit Benjamin,3774600,8012736
20.,Larry Johnson,3710000,7875603
21.,Tim Hardaway,3703000,7860743
22.,Jerome Kersey,3608000,7659077
23.,Shawn Bradley,3510000,7451042
24.,Chris Dudley,3500000,7429814
25.,Stanley Roberts,3496000,7421322
26.,Kenny Anderson,3463200,7351695
27.,Karl Malone,3378800,7172530
28.,Christian Laettner,3360000,7132621
29.,Vlade Divac,3333300,7075942
30.,Reggie Lewis,3300000,7005253
31.,Rony Seikaly,3297000,6998884
32.,Toni Kukoc,3260000,6920341
33.,Rik Smits,3250000,6899113
34.,Dennis Scott,3240000,6877885
35.,Reggie Miller,3210500,6815262
36.,Buck Williams,3200000,6792972
36.,Sam Bowie,3200000,6792972
36.,Mark Price,3200000,6792972
39.,Hakeem Olajuwon,3169900,6729076
40.,Dikembe Mutombo,3100000,6580692
41.,Nick Anderson,3090000,6559464
42.,Mitch Richmond,3000000,6368412
42.,Dan Majerle,3000000,6368412
42.,Roy Tarpley,3000000,6368412
45.,Harvey Grant,2990000,6347184
46.,Kevin Willis,2975000,6315342
47.,Glenn Robinson,2900000,6156131
48.,Billy Owens,2867000,6086079
49.,Charles Smith,2857000,6064851
50.,Chris Mullin,2844000,6037254
51.,Tyrone Hill,2820000,5986307
51.,Dominique Wilkins,2820000,5986307
53.,BJ Armstrong,2800000,5943851
54.,Jason Kidd,2770800,5881865
55.,Kevin Johnson,2750000,5837711
55.,Loy Vaught,2750000,5837711
55.,Grant Hill,2750000,5837711
58.,Blair Rasmussen,2747500,5832404
59.,Clifford Robinson,2732000,5799500
60.,LaPhonso Ellis,2731000,5797377
60.,Sherman Douglas,2731000,5797377
62.,Jim Jackson,2700000,5731570
63.,John Salley,2652000,5629676
64.,Craig Ehlo,2650000,5625430
65.,Xavier McDaniel,2640000,5604202
66.,Jamal Mashburn,2633300,5589979
67.,Kenny Smith,2633000,5589343
68.,Kevin Duckworth,2612500,5545825
69.,John Stockton,2600000,5519290
69.,Terry Porter,2600000,5519290
69.,Kendall Gill,2600000,5519290
69.,Glen Rice,2600000,5519290
69.,Derrick McKey,2600000,5519290
69.,Jon Koncak,2600000,5519290
75.,Gary Payton,2583300,5483839
76.,Otis Thorpe,2578400,5473437
77.,Dennis Rodman,2500000,5307010
77.,Isaiah Rider,2500000,5307010
77.,Ricky Pierce,2500000,5307010
77.,Hersey Hawkins,2500000,5307010
77.,Dee Brown,2500000,5307010
82.,Gerald Wilkins,2478000,5260308
83.,Terry Cummings,2406600,5108740
84.,Calbert Cheaney,2400000,5094729
84.,Sedale Threatt,2400000,5094729
84.,Ron Harper,2400000,5094729
87.,Derek Harper,2382700,5058005
88.,Orlando Woolridge,2367000,5024677
89.,Mark Jackson,2300000,4882449
90.,Frank Brickowski,2233000,4740221
91.,Scottie Pippen,2225000,4723239
92.,J.R. Reid,2215000,4702010
93.,Charles Oakley,2200000,4670168
93.,Mahmoud Abdul-Rauf,2200000,4670168
95.,Lionel Simmons,2181400,4630684
96.,Micheal Williams,2175000,4617098
97.,Dino Radja,2145000,4553414
98.,Scott Skiles,2125000,4510958
98.,Horace Grant,2125000,4510958
100.,Jeff Hornacek,2121400,4503316
101.,Pooh Richardson,2120700,4501830
102.,Todd Day,2120000,4500344
103.,Bobby Hurley,2100000,4457888
103.,Sarunas Marciulionis,2100000,4457888
103.,Donyell Marshall,2100000,4457888
103.,Elden Campbell,2100000,4457888
103.,Mookie Blaylock,2100000,4457888
108.,Tom Chambers,2093000,4443027
109.,Chris Webber,2080000,4415432
109.,Danny Ainge,2080000,4415432
111.,Willie Anderson,2075000,4404818
112.,Spud Webb,2071600,4397600
113.,Chris Morris,2060000,4372976
114.,Walt Williams,2040000,4330520
115.,Sharone Wright,2020000,4288064
116.,Alvin Robertson,2015000,4277450
117.,Rex Chapman,2004500,4255160
118.,Lamond Murray,2000000,4245608
118.,LaSalle Thompson,2000000,4245608
118.,Bison Dele,2000000,4245608
121.,Ken Norman,1963000,4167064
122.,Doug Smith,1950000,4139467
123.,Steve Smith,1935900,4109536
124.,Jeff Malone,1930000,4097011
125.,Robert Parish,1925000,4086397
126.,Rod Strickland,1920000,4075783
127.,Jay Humphries,1900000,4033327
127.,Olden Polynice,1900000,4033327
127.,Stacey King,1900000,4033327
127.,Nick Van Exel,1900000,4033327
131.,Terry Mills,1897000,4026959
132.,Felton Spencer,1881250,3993525
133.,Vernon Maxwell,1833000,3891099
134.,Johnny Dawkins,1830000,3884730
135.,Mark Macon,1767000,3750994
136.,Vern Fleming,1760000,3736135
137.,Tim Perry,1750000,3714907
137.,Cedric Ceballos,1750000,3714907
137.,Rick Fox,1750000,3714907
140.,Blue Edwards,1700000,3608766
141.,Terry Catledge,1685700,3578410
142.,Jerry Reynolds,1667500,3539775
143.,Stacey Augmon,1662500,3529161
144.,Michael Cage,1635000,3470784
145.,Tom Gugliotta,1625000,3449556
146.,Tyrone Corbin,1600000,3396486
147.,Andrew Lang,1596000,3387995
148.,Luc Longley,1590000,3375258
149.,Clyde Drexler,1578000,3349784
150.,Reggie Williams,1567500,3327495
151.,Rodney Rogers,1560000,3311574
151.,Terry Davis,1560000,3311574
151.,Armen Gilliam,1560000,3311574
151.,Kevin Edwards,1560000,3311574
155.,Byron Scott,1550000,3290346
156.,Duane Causwell,1545000,3279732
157.,Mark Aguirre,1540600,3270391
158.,Oliver Miller,1540000,3269118
159.,Doc Rivers,1514750,3215516
160.,Bill Cartwright,1502000,3188451
161.,Adam Keefe,1500000,3184206
161.,Scott Williams,1500000,3184206
161.,Mark West,1500000,3184206
