Ranking,Player,2001/02,2001/02(*)
1.,Kevin Garnett,22400000,39536629
2.,Shaquille O'Neal,21428572,37822031
3.,Alonzo Mourning,18754800,33102748
4.,Juwan Howard,18750000,33094276
5.,Scottie Pippen,18083564,31917998
6.,Karl Malone,17500000,30887991
7.,Jayson Williams,15125000,26696049
8.,Rasheed Wallace,14400000,25416404
9.,Dikembe Mutombo,14315790,25267771
10.,Gary Payton,12926493,22815623
11.,Chris Webber,12750000,22504108
11.,Allan Houston,12750000,22504108
13.,Shawn Kemp,12660000,22345255
14.,Damon Stoudamire,12375000,21842222
15.,Reggie Miller,12045075,21259895
16.,Antonio McDyess,11700000,20650828
17.,Bryant Reeves,11555554,20395877
18.,Larry Johnson,11335714,20007853
19.,Stephon Marbury,11250000,19856566
19.,Anfernee Hardaway,11250000,19856566
19.,Allen Iverson,11250000,19856566
19.,Vin Baker,11250000,19856566
19.,Latrell Sprewell,11250000,19856566
19.,Ray Allen,11250000,19856566
19.,Kobe Bryant,11250000,19856566
19.,Zydrunas Ilgauskas,11250000,19856566
19.,Antoine Walker,11250000,19856566
19.,Shareef Abdur-Rahim,11250000,19856566
29.,Antonio Davis,11000000,19415308
29.,Mitch Richmond,11000000,19415308
31.,Tim Duncan,10865250,19177471
31.,Tracy McGrady,10865250,19177471
31.,Grant Hill,10865250,19177471
31.,Jalen Rose,10865250,19177471
31.,Keith Van Horn,10865250,19177471
36.,Michael Finley,10625000,18753423
37.,Vlade Divac,10444642,18435086
38.,Nick Van Exel,10164642,17940878
39.,Tom Gugliotta,10114000,17851494
40.,Eddie Jones,10091250,17811339
41.,Brian Grant,9925076,17518037
42.,Tim Thomas,9675000,17076646
43.,Theo Ratliff,9667969,17064236
44.,David Robinson,9500000,16767766
45.,Terrell Brandon,9300000,16414761
46.,Steve Smith,9000000,15885252
47.,Glenn Robinson,8990000,15867602
48.,Glen Rice,8800000,15532247
49.,Derrick Coleman,8710000,15373394
50.,Jason Kidd,8447500,14910074
51.,Kenny Anderson,8350000,14737984
52.,Kerry Kittles,8166667,14414396
53.,Matt Geiger,8142160,14371141
54.,Elden Campbell,7975000,14076099
55.,Toni Kukoc,7906783,13955694
56.,Clifford Robinson,7656250,13513496
57.,Marcus Camby,7300000,12884705
58.,Chris Dudley,7200000,12708202
59.,Dale Davis,7010000,12372846
60.,John Stockton,7000000,12355196
61.,Jamal Mashburn,6975000,12311070
62.,Greg Ostertag,6933328,12237518
63.,Ron Mercer,6750000,11913939
64.,Tyrone Hill,6600000,11649185
65.,Charles Oakley,6545000,11552108
66.,Donyell Marshall,6510000,11490332
67.,Alan Henderson,6500312,11473233
68.,Maurice Taylor,6500000,11472682
69.,Derek Anderson,6495000,11463857
70.,PJ Brown,6404800,11304651
71.,Luc Longley,6325000,11163802
71.,Jermaine O'Neal,6325000,11163802
73.,Austin Croshere,6310000,11137327
74.,Wesley Person,6300000,11119676
75.,Erick Dampier,6235000,11004950
76.,Kelvin Cato,6048000,10674889
77.,Bo Outlaw,6000000,10590168
77.,Derrick McKey,6000000,10590168
77.,Jim McIlvaine,6000000,10590168
80.,Jerry Stackhouse,5843750,10314382
81.,Steve Nash,5750000,10148911
82.,Isaac Austin,5695715,10053096
83.,Shandon Anderson,5500000,9707654
83.,Lorenzen Wright,5500000,9707654
85.,Nick Anderson,5401906,9534515
86.,Mookie Blaylock,5400000,9531151
86.,Chris Mills,5400000,9531151
88.,Alvin Williams,5350000,9442900
89.,Robert Horry,5300000,9354648
90.,Loy Vaught,5222025,9217020
91.,Bobby Phills,5220000,9213446
92.,Bob Sura,5213333,9201679
93.,Chris Childs,5200000,9178146
93.,Doug Christie,5200000,9178146
95.,Eddie Robinson,5170000,9125195
96.,Bryon Russell,5142857,9077287
97.,Charlie Ward,5110000,9019293
98.,Tariq Abdul-Wahad,5062500,8935454
99.,Hakeem Olajuwon,5061539,8933758
100.,Jerome Williams,5000000,8825140
100.,Predrag Stojakovic,5000000,8825140
100.,Walt Williams,5000000,8825140
103.,Jason Caffey,4812500,8494197
104.,Howard Eisley,4781250,8439040
105.,Vitaly Potapenko,4762500,8405946
