Ranking,Player,1995/96,1995/96(*)
1.,Patrick Ewing,18724000,38574509
2.,Clyde Drexler,9810000,20210208
3.,David Robinson,7700000,15863262
4.,Chris Webber,7000000,14421147
5.,Joe Dumars,6881000,14175988
6.,Danny Manning,6833000,14077100
7.,A.C. Green,6473000,13335441
8.,Shaquille O'Neal,5700000,11742934
9.,Derrick Coleman,5476000,11281457
10.,Sean Elliott,5333000,10986854
11.,Hakeem Olajuwon,5305000,10929169
12.,Anfernee Hardaway,5230000,10774657
13.,James Worthy,5150000,10609844
14.,Detlef Schrempf,5000000,10300819
15.,Sam Bowie,4800000,9888786
16.,Charles Barkley,4760000,9806380
17.,Brad Daugherty,4700000,9682770
18.,Danny Ferry,4643000,9565341
19.,Alonzo Mourning,4560000,9394347
20.,Clarence Weatherspoon,4500000,9270737
20.,Tom Gugliotta,4500000,9270737
22.,Shawn Bradley,4320000,8899908
23.,Larry Johnson,4295000,8848404
24.,Brian Shaw,4250000,8755696
25.,John Williams,4151000,8551740
26.,Dale Davis,4050000,8343663
26.,Grant Hill,4050000,8343663
28.,Benoit Benjamin,3975000,8189151
29.,Sam Perkins,3967000,8172670
30.,Christian Laettner,3910000,8055240
31.,Kenny Anderson,3898000,8030519
32.,Michael Jordan,3850000,7931631
33.,Chris Dudley,3800000,7828622
34.,Glenn Robinson,3770000,7766818
35.,Vin Baker,3765000,7756517
36.,Rik Smits,3750000,7725614
37.,Tim Hardaway,3728000,7680291
38.,Mark Price,3687000,7595824
39.,Karl Malone,3676000,7573162
40.,Kevin Willis,3650000,7519598
41.,Jason Kidd,3588000,7391868
42.,Charles Smith,3582000,7379506
43.,Toni Kukoc,3560000,7334183
44.,Harvey Grant,3551000,7315642
45.,Rony Seikaly,3532000,7276499
46.,Mitch Richmond,3500000,7210573
47.,Wayman Tisdale,3475000,7159069
48.,Anthony Mason,3472000,7152889
49.,Tyrone Hill,3425000,7056061
50.,Buck Williams,3400000,7004557
51.,Vlade Divac,3333000,6866526
52.,Billy Owens,3320000,6839744
53.,Glen Rice,3302000,6802661
54.,Dana Barros,3300000,6798540
55.,Frank Brickowski,3250000,6695532
55.,Dikembe Mutombo,3250000,6695532
57.,Jamal Mashburn,3233000,6660510
58.,Reggie Miller,3211000,6615186
59.,Nick Anderson,3200000,6592524
59.,Jim Jackson,3200000,6592524
59.,Kendall Gill,3200000,6592524
62.,Sherman Douglas,3163000,6516298
63.,Dennis Scott,3150000,6489516
64.,Ron Harper,3120000,6427711
65.,Dan Majerle,3100000,6386508
66.,Blair Rasmussen,3088000,6361786
67.,LaPhonso Ellis,3039000,6260838
68.,Clifford Robinson,3018000,6217574
69.,Isaiah Rider,3010000,6201093
70.,Shawn Kemp,3000000,6180491
70.,Stanley Roberts,3000000,6180491
70.,Loy Vaught,3000000,6180491
70.,Dee Brown,3000000,6180491
74.,Scottie Pippen,2925000,6025979
75.,Kevin Johnson,2900000,5974475
76.,Kevin Duckworth,2863000,5898249
