Ranking,Player,2016/17,2016/17(*)
1.,LeBron James,30963450,40361889
2.,DeMar DeRozan,26540100,34595905
2.,Russell Westbrook,26540100,34595905
2.,Mike Conley,26540100,34595905
2.,James Harden,26540100,34595905
2.,Kevin Durant,26540100,34595905
2.,Al Horford,26540100,34595905
8.,Dirk Nowitzki,25000000,32588333
9.,Carmelo Anthony,24559380,32013970
10.,Damian Lillard,24328425,31712913
11.,Chris Bosh,23741060,30947263
12.,Dwight Howard,23500000,30633033
13.,Dwyane Wade,23200000,30241973
14.,Chris Paul,22868827,29810278
15.,Bradley Beal,22116750,28829921
15.,Anthony Davis,22116750,28829921
15.,Hassan Whiteside,22116750,28829921
15.,Chandler Parsons,22116750,28829921
15.,Andre Drummond,22116750,28829921
15.,Harrison Barnes,22116750,28829921
21.,Derrick Rose,21323252,27795570
22.,Marc Gasol,21165675,27590163
22.,DeAndre Jordan,21165675,27590163
22.,Kevin Love,21165675,27590163
22.,Brook Lopez,21165675,27590163
26.,Nicolas Batum,20869566,27204175
27.,LaMarcus Aldridge,20575005,26820205
28.,Blake Griffin,20093064,26191978
29.,Paul Millsap,20072033,26164564
30.,Ryan Anderson,18735364,24422171
31.,Allen Crabbe,18500000,24115366
32.,Paul George,18100000,23593953
33.,Luol Deng,18000000,23463600
34.,Kawhi Leonard,17638063,22991803
34.,Kyrie Irving,17638063,22991803
36.,Jimmy Butler,17552209,22879889
37.,Tobias Harris,17200000,22420773
38.,Enes Kanter,17145838,22350171
38.,Greg Monroe,17145838,22350171
38.,Wesley Matthews,17145838,22350171
41.,Bismack Biyombo,17000000,22160066
41.,Evan Fournier,17000000,22160066
41.,Joakim Noah,17000000,22160066
44.,Klay Thompson,16663575,21721525
45.,Evan Turner,16393443,21369399
46.,Gordon Hayward,16073140,20951873
47.,Ian Mahinmi,16000000,20856533
47.,Timofey Mozgov,16000000,20856533
49.,Goran Dragic,15891725,20715393
50.,John Wall,15756438,20539042
50.,DeMarcus Cousins,15756438,20539042
52.,Kent Bazemore,15730337,20505018
53.,Pau Gasol,15500000,20204766
54.,Draymond Green,15330435,19983733
54.,Tristan Thompson,15330435,19983733
56.,Khris Middleton,15200000,19813706
57.,Danilo Gallinari,15050000,19618176
58.,Jeff Green,15000000,19553000
59.,Reggie Jackson,14956522,19496325
60.,Deron Williams,14885520,19403771
61.,Tony Parker,14445313,18829947
62.,Jonas Valanciunas,14382023,18747446
63.,DeMarre Carroll,14200000,18510173
64.,Manu Ginobili,14000000,18249466
64.,Eric Bledsoe,14000000,18249466
64.,Rajon Rondo,14000000,18249466
67.,Ricky Rubio,13400000,17467346
68.,Rudy Gay,13333333,17380444
69.,Jamal Crawford,13253012,17275743
70.,Robin Lopez,13219250,17231733
71.,Michael Kidd-Gilchrist,13000000,16945933
72.,JR Smith,12800000,16685226
73.,Brandon Knight,12606250,16432667
74.,Arron Afflalo,12500000,16294166
74.,Jordan Clarkson,12500000,16294166
76.,Tyson Chandler,12415000,16183366
77.,Miles Plumlee,12400000,16163813
78.,Eric Gordon,12385665,16145127
79.,John Henson,12267606,15991233
80.,Serge Ibaka,12250000,15968283
80.,Marvin Williams,12250000,15968283
82.,Stephen Curry,12112359,15788863
83.,Nikola Pekovic,12100000,15772753
84.,Thaddeus Young,12078652,15744925
84.,Kenneth Faried,12078652,15744925
86.,Marcin Gortat,12000000,15642400
86.,Kyle Lowry,12000000,15642400
86.,Kemba Walker,12000000,15642400
86.,Amir Johnson,12000000,15642400
90.,Nikola Vucevic,11750000,15316516
91.,Solomon Hill,11709603,15263857
92.,Jeremy Lin,11483254,14968804
93.,Andrew Bogut,11410378,14873807
94.,Courtney Lee,11242000,14654321
95.,Wilson Chandler,11233146,14642780
96.,Andre Iguodala,11131368,14510109
97.,Derrick Favors,11050000,14404043
98.,Joe Johnson,11000000,14338866
98.,Jrue Holiday,11000000,14338866
98.,Austin Rivers,11000000,14338866
101.,Jon Leuer,10991957,14328382
102.,Anderson Varejao,10851659,14145499
103.,Monta Ellis,10763500,14030581
104.,Mirza Teletovic,10500000,13687100
105.,Jared Dudley,10470000,13647994
106.,Al Jefferson,10230179,13335379
107.,Tyreke Evans,10203755,13300934
108.,Danny Green,10000000,13035333
108.,Terrence Ross,10000000,13035333
108.,Zach Randolph,10000000,13035333
111.,Alec Burks,9904495,12910839
112.,Omer Asik,9904494,12910838
113.,Iman Shumpert,9662922,12595941
114.,Matthew Dellavedova,9607500,12523696
115.,Jerryd Bayless,9424084,12284607
116.,Trevor Booker,9250000,12057683
117.,Meyers Leonard,9213484,12010083
118.,Gerald Henderson,9000000,11731800
119.,Moe Harkless,8988764,11717153
120.,Taj Gibson,8950000,11666623
121.,E'Twaun Moore,8801363,11472870
122.,Kris Humphries,8630000,11249492
123.,Ersan Ilyasova,8400000,10949680
124.,Dwight Powell,8375000,10917091
125.,Avery Bradley,8269663,10779781
126.,Tiago Splitter,8250000,10754150
127.,Darrell Arthur,8070175,10519742
128.,Kosta Koufos,8046500,10488881
129.,George Hill,8000000,10428266
129.,Anthony Tolliver,8000000,10428266
129.,Garrett Temple,8000000,10428266
129.,Kevin Garnett,8000000,10428266
129.,Jeff Teague,8000000,10428266
129.,Tyler Zeller,8000000,10428266
135.,Channing Frye,7806971,10176647
136.,Trevor Ariza,7800000,10167560
137.,Jose Calderon,7708427,10048191
138.,Al-Farouq Aminu,7680965,10012394
139.,Cole Aldrich,7643979,9964181
140.,Corey Brewer,7612172,9922720
141.,Markieff Morris,7400000,9646146
141.,Festus Ezeli,7400000,9646146
143.,JJ Redick,7377500,9616817
144.,Cory Joseph,7315000,9535346
145.,DJ Augustin,7250000,9450616
146.,Boris Diaw,7000000,9124733
146.,Rodney Stuckey,7000000,9124733
146.,Louis Williams,7000000,9124733
146.,Jeremy Lamb,7000000,9124733
150.,Sergio Rodriguez,6800000,8864026
151.,Carl Landry,6750000,8798850
152.,Ed Davis,6666667,8690222
153.,Isaiah Thomas,6587131,8586544
154.,Victor Oladipo,6552960,8542001
155.,Jodie Meeks,6540000,8525108
156.,Matt Barnes,6508351,8483851
157.,Aron Baynes,6500000,8472966
158.,Marco Belinelli,6333333,8255710
159.,Jae Crowder,6286408,8194542
160.,Lance Thomas,6191000,8070174
160.,Tarik Black,6191000,8070174
162.,Andrew Nicholson,6088993,7937205
163.,Patrick Patterson,6050000,7886376
164.,Andrew Wiggins,6006600,7829803
