Ranking,Player,2014/15,2014/15(*)
1.,Kobe Bryant,23500000,30976838
2.,Joe Johnson,23180790,30556067
3.,Carmelo Anthony,22458401,29603840
4.,Amare Stoudemire,21896658,28863371
5.,Dwight Howard,21436271,28256506
6.,Chris Bosh,20644400,27212690
6.,LeBron James,20644400,27212690
8.,Chris Paul,20068563,26453643
9.,Kevin Durant,19997513,26359988
10.,Deron Williams,19754465,26039611
11.,Rudy Gay,19317326,25463390
12.,Derrick Rose,18862876,24864351
13.,Blake Griffin,17632688,23242762
14.,Carlos Boozer,16800000,22145142
15.,Zach Randolph,16500000,21749694
16.,Marc Gasol,15829688,20866114
17.,Paul George,15800000,20826980
18.,Kevin Love,15719063,20720292
19.,Russell Westbrook,15719062,20720290
20.,Brook Lopez,15719000,20720209
21.,LaMarcus Aldridge,15200000,20036082
22.,David Lee,15012000,19788267
23.,Dwyane Wade,15000000,19772449
24.,Josh Smith,14945778,19700975
25.,Omer Asik,14898938,19639233
25.,Eric Gordon,14898938,19639233
25.,Jeremy Lin,14898938,19639233
25.,Roy Hibbert,14898938,19639233
29.,Gordon Hayward,14746000,19437636
30.,Chandler Parsons,14700000,19377000
31.,James Harden,14693906,19368967
32.,Tyson Chandler,14596888,19241082
33.,Brandon Roy,14399332,18980671
34.,John Wall,13701250,18060485
34.,DeMarcus Cousins,13701250,18060485
36.,Al Jefferson,13500000,17795204
37.,Nenê,13000000,17136123
37.,Eric Bledsoe,13000000,17136123
39.,Andrew Bogut,12972973,17100497
40.,Derrick Favors,12950000,17070214
41.,Rajon Rondo,12909090,17016288
42.,Joakim Noah,12700000,16740674
43.,Tony Parker,12500000,16477041
44.,Andre Iguodala,12289544,16199626
45.,Serge Ibaka,12250000,16147500
46.,Nikola Pekovic,12100000,15949776
47.,Kyle Lowry,12000000,15817959
47.,Andrea Bargnani,12000000,15817959
47.,Kevin Garnett,12000000,15817959
47.,David West,12000000,15817959
47.,Al Horford,12000000,15817959
52.,Ty Lawson,11595506,15284770
53.,DeAndre Jordan,11440123,15079950
54.,Nicolas Batum,11390500,15014539
55.,Tyreke Evans,11265416,14849658
56.,JaVale McGee,11250000,14829337
57.,Jrue Holiday,11000000,14499796
57.,Larry Sanders,11000000,14499796
59.,Danilo Gallinari,10854850,14308465
60.,Stephen Curry,10629213,14011038
61.,Marcin Gortat,10434782,13754746
62.,Tim Duncan,10361446,13658078
63.,Gerald Wallace,10105855,13321167
64.,Anderson Varejao,9800000,12918000
65.,Brendan Haywood,9798000,12915363
66.,Luol Deng,9714461,12805246
67.,Steve Nash,9701000,12787502
68.,Kendrick Perkins,9588889,12639720
69.,DeMar DeRozan,9500000,12522551
69.,Paul Millsap,9500000,12522551
71.,Tyrus Thomas,9460664,12470700
72.,Mike Miller,9332000,12301099
73.,Tiago Splitter,9250000,12193010
74.,Jeff Green,9200000,12127102
75.,Thaddeus Young,9160870,12075522
76.,Jordan Hill,9000000,11863469
76.,Lance Stephenson,9000000,11863469
78.,Mike Conley,8760000,11547110
79.,Monta Ellis,8720000,11494384
80.,Marcus Thornton,8697500,11464725
81.,Trevor Ariza,8600000,11336204
82.,Channing Frye,8579088,11308639
83.,Landry Fields,8500000,11204388
84.,Ryan Anderson,8491500,11193183
85.,Marcus Camby,8354416,11012484
86.,Drew Gooden,8128490,10714676
87.,Boris Diaw,8000000,10545306
87.,OJ Mayo,8000000,10545306
87.,George Hill,8000000,10545306
87.,Brandon Jennings,8000000,10545306
87.,Taj Gibson,8000000,10545306
87.,Jeff Teague,8000000,10545306
93.,Dirk Nowitzki,7974482,10511669
94.,Ersan Ilyasova,7900000,10413490
95.,Glen Davis,7827985,10318561
96.,Tayshaun Prince,7707865,10160224
97.,Al Harrington,7609800,10030959
98.,Arron Afflalo,7562500,9968610
99.,Goran Dragic,7500000,9886224
100.,Kyrie Irving,7459924,9833398
101.,Josh Childress,7317500,9645660
102.,Wesley Matthews,7245640,9550936
103.,Isaiah Thomas,7238606,9541664
104.,Avery Bradley,7191011,9478926
105.,Pau Gasol,7128000,9395868
106.,Jose Calderon,7097191,9355256
107.,Amir Johnson,7000000,9227143
107.,Manu Ginobili,7000000,9227143
107.,Marvin Williams,7000000,9227143
107.,Travis Outlaw,7000000,9227142
111.,Brandon Bass,6950000,9161235
112.,Kevin Martin,6792500,8953624
112.,JJ Redick,6792500,8953624
114.,Wilson Chandler,6754913,8904078
115.,Carl Landry,6750000,8897602
116.,Derrick Williams,6679866,8805154
117.,Jason Richardson,6601125,8701360
118.,Greivis Vasquez,6400000,8436245
119.,Jarrett Jack,6300000,8304428
120.,Kyle Korver,6253521,8243161
121.,Jason Thompson,6037500,7958411
122.,Enes Kanter,6008106,7919664
123.,Jodie Meeks,6000000,7908979
123.,Gerald Henderson,6000000,7908979
125.,JR Smith,5982375,7885747
126.,Chuck Hayes,5958750,7854605
127.,Patrick Patterson,5831326,7686640
128.,Jose Juan Barea,5822078,7674449
129.,PJ Tucker,5700000,7513530
130.,Anthony Davis,5607240,7391258
131.,Anthony Bennett,5563920,7334155
132.,Andrew Wiggins,5510640,7263923
133.,Greg Monroe,5479933,7223446
134.,Louis Williams,5450000,7183990
134.,Courtney Lee,5450000,7183990
134.,Jamal Crawford,5450000,7183990
134.,Jason Terry,5450000,7183990
138.,Tristan Thompson,5421233,7146070
139.,Martell Webster,5381750,7094025
139.,JJ Hickson,5381750,7094025
141.,Robin Lopez,5340229,7039293
142.,Paul Pierce,5305000,6992856
142.,Josh McRoberts,5305000,6992856
142.,Spencer Hawes,5305000,6992856
142.,Shaun Livingston,5305000,6992856
142.,Nikola Mirotic,5305000,6992856
147.,Chris Andersen,5300000,6986265
148.,Zaza Pachulia,5200000,6854449
149.,Ricky Rubio,5070686,6683992
150.,Michael Kidd-Gilchrist,5016960,6613172
151.,Trevor Booker,5000000,6590816
151.,Brandan Wright,5000000,6590816
151.,Chase Budinger,5000000,6590816
151.,Tony Allen,5000000,6590816
155.,Nick Young,4994420,6583461
156.,Victor Oladipo,4978200,6562080
157.,Jabari Parker,4930560,6499283
158.,Chris Kaman,4800000,6327183
159.,Darren Collison,4797664,6324104
159.,Kostas Papanikolaou,4797664,6324104
161.,Jameer Nelson,4750000,6261275
162.,Corey Brewer,4702500,6198663
163.,Timofey Mozgov,4650000,6129459
164.,Andre Miller,4625000,6096505
165.,Bradley Beal,4505280,5938694
166.,Ben Gordon,4500000,5931734
166.,Caron Butler,4500000,5931734
166.,Luis Scola,4500000,5931734
166.,Jonas Jerebko,4500000,5931734
170.,Otto Porter,4470480,5892822
171.,Joel Embiid,4427640,5836352
172.,Luc Mbah a Moute,4382576,5776950
173.,Raymond Felton,4360000,5747192
174.,Kris Humphries,4250000,5602194
174.,Jared Dudley,4250000,5602194
176.,CJ Miles,4205000,5542876
177.,Bismack Biyombo,4086453,5386612
178.,Dion Waiters,4062000,5354379
179.,Cody Zeller,4030560,5312936
180.,Danny Green,4025000,5305607
181.,Mario Chalmers,4000000,5272653
181.,Ian Mahinmi,4000000,5272653
181.,Thabo Sefolosha,4000000,5272653
184.,Aaron Gordon,3992040,5262160
185.,Vince Carter,3911981,5156629
186.,Kevin Seraphin,3898691,5139111
187.,Devin Harris,3878896,5113018
188.,Joel Anthony,3800000,5009020
