Ranking,Player,1998/99,1998/99(*)
1.,Patrick Ewing,18500000,35657898
2.,Shaquille O'Neal,15000000,28911809
3.,David Robinson,14841000,28605344
4.,Kevin Garnett,14000000,26984355
5.,Alonzo Mourning,13130000,25307470
6.,Juwan Howard,13125000,25297833
7.,Hakeem Olajuwon,12943000,24947036
8.,Derrick Coleman,12267000,23644077
9.,Dikembe Mutombo,11218000,21622178
10.,Scottie Pippen,11000000,21201993
10.,Jayson Williams,11000000,21201993
12.,Charles Oakley,10186000,19633046
12.,Larry Johnson,10186000,19633046
14.,Chris Webber,10000000,19274539
15.,Shawn Kemp,9740000,18773401
16.,Rasheed Wallace,9000000,17347085
16.,Damon Stoudamire,9000000,17347085
16.,Arvydas Sabonis,9000000,17347085
16.,Antonio McDyess,9000000,17347085
20.,Gary Payton,8715000,16797761
21.,Anfernee Hardaway,8505000,16392996
22.,Rik Smits,8500000,16383358
23.,Vlade Divac,8300000,15997868
23.,Latrell Sprewell,8300000,15997868
25.,Horace Grant,7843000,15117021
26.,Tom Gugliotta,7800000,15034141
27.,Bryant Reeves,7222000,13920072
28.,Allan Houston,7000000,13492177
28.,Elden Campbell,7000000,13492177
30.,Danny Manning,6833000,13170293
31.,Matt Geiger,6800000,13106687
32.,Reggie Miller,6781000,13070065
33.,Shawn Bradley,6750000,13010314
34.,Grant Hill,6675000,12865755
35.,Glenn Robinson,6380000,12297156
36.,Terrell Brandon,6300000,12142960
36.,Steve Smith,6300000,12142960
38.,Karl Malone,6142000,11838422
39.,Jason Kidd,6041000,11643749
40.,Brian Grant,6000000,11564723
40.,Theo Ratliff,6000000,11564723
40.,Michael Finley,6000000,11564723
43.,Kenny Anderson,5845000,11265968
44.,Tim Hardaway,5600000,10793742
45.,Mark Price,5488000,10577867
46.,Christian Laettner,5360000,10331153
47.,Tyrone Hill,5352000,10315733
48.,Sean Elliott,5333000,10279112
49.,Ron Harper,5280000,10176957
50.,Glen Rice,5248000,10115278
51.,A.C. Green,5125088,9878371
52.,Charles Smith,5052223,9737926
