Ranking,Player,2006/07,2006/07(*)
1.,Kevin Garnett,21000000,32516880
2.,Shaquille O'Neal,20000000,30968457
3.,Michael Finley,19030999,29468033
4.,Chris Webber,18261024,28275786
5.,Jermaine O'Neal,18084000,28001679
5.,Jason Kidd,18084000,28001679
7.,Kobe Bryant,17718750,27436117
8.,Tim Duncan,17429672,26988502
9.,Stephon Marbury,17184375,26608679
9.,Allen Iverson,17184375,26608679
11.,Grant Hill,16901500,26170669
11.,Tracy McGrady,16901500,26170669
13.,Brian Grant,16786950,25993296
14.,Jalen Rose,16141500,24993867
15.,Ben Wallace,16000000,24774765
16.,Eddie Jones,15395472,23838700
17.,Antawn Jamison,15101625,23383701
17.,Dirk Nowitzki,15101625,23383701
17.,Vince Carter,15101625,23383701
17.,Paul Pierce,15101625,23383701
21.,Shawn Marion,15070000,23334732
21.,Steve Francis,15070000,23334732
21.,Baron Davis,15070000,23334732
24.,Ray Allen,14611570,22624889
25.,Elton Brand,14248000,22061929
26.,Larry Hughes,13363012,20691593
27.,Michael Redd,13260000,20532087
28.,Joe Johnson,12744189,19733393
29.,Mike Bibby,12500000,19355285
30.,Amare Stoudemire,12455000,19285606
30.,Yao Ming,12455000,19285606
32.,Andrei Kirilenko,12364000,19144700
32.,Pau Gasol,12364000,19144700
34.,Lamar Odom,12348596,19120848
35.,Kenyon Martin,12068182,18686648
36.,Zach Randolph,12000000,18581074
37.,Wally Szczerbiak,11775000,18232679
38.,Theo Ratliff,11666666,18064932
39.,Rasheed Wallace,11650000,18039126
40.,Raef LaFrentz,11532037,17856469
41.,Carlos Boozer,11260483,17435989
42.,Richard Jefferson,11200000,17342336
43.,Gilbert Arenas,11096800,17182538
44.,Derek Anderson,11043897,17100621
45.,Predrag Stojakovic,10800000,16722966
46.,Steve Nash,10500000,16258440
47.,Jason Richardson,9999999,15484227
48.,Erick Dampier,9628000,14908215
49.,Brad Miller,9625000,14903570
50.,Samuel Dalembert,9464307,14654749
51.,Tony Parker,9450000,14632596
52.,Zydrunas Ilgauskas,9442697,14621287
53.,Rashard Lewis,9350649,14478758
54.,Jerry Stackhouse,9296874,14395492
55.,Richard Hamilton,9187500,14226135
56.,Tyson Chandler,9150000,14168069
57.,Marcus Camby,8800000,13626121
58.,Andre Miller,8733333,13522892
59.,Bobby Simmons,8640000,13378373
60.,Maurice Taylor,8565918,13263662
61.,PJ Brown,8560000,13254499
62.,Jamaal Magloire,8433334,13058367
63.,Kwame Brown,8287500,12832554
64.,Troy Murphy,8285714,12829789
65.,Manu Ginobili,8254375,12781263
66.,Mehmet Okur,8250000,12774488
66.,Jason Williams,8250000,12774488
68.,Eddy Curry,8171103,12652322
69.,Cuttino Mobley,8125000,12580935
69.,Adonal Foyle,8125000,12580935
71.,Jason Terry,8100000,12542225
72.,Aaron McKie,8070874,12497125
73.,Desmond Mason,8037037,12444731
74.,Nenê,8000000,12387382
75.,Tayshaun Prince,7851240,12157039
76.,Kurt Thomas,7821482,12110961
77.,Darius Miles,7750000,12000277
78.,Calvin Booth,7628858,11812697
79.,Al Harrington,7625000,11806724
80.,Mike Miller,7623813,11804886
81.,Antoine Walker,7606820,11778574
82.,Metta World Peace,7526316,11653919
83.,Quentin Richardson,7525500,11652656
84.,Malik Rose,7525397,11652496
85.,Mike Dunleavy,7438016,11517194
86.,Caron Butler,7438000,11517169
87.,Austin Croshere,7300000,11303486
88.,Mark Blount,7288165,11285161
89.,Radoslav Nesterovic,7280000,11272518
90.,Shandon Anderson,7244726,11217899
91.,Jamal Crawford,7200000,11148644
92.,Kenny Thomas,7187500,11129289
93.,Jerome Williams,7014400,10861257
94.,Corey Maggette,7000000,10838960
95.,Speedy Claxton,6854546,10613735
96.,Sam Cassell,6850000,10606696
97.,Joe Smith,6807000,10540114
97.,Ruben Patterson,6807000,10540114
99.,Alonzo Mourning,6725433,10413814
100.,Drew Gooden,6645402,10289892
101.,Danny Fortson,6596990,10214930
102.,Matt Harpring,6500000,10064748
102.,Corliss Williamson,6500000,10064748
104.,James Posey,6392100,9897673
104.,Juwan Howard,6392100,9897673
106.,Ricky Davis,6364400,9854782
106.,Chauncey Billups,6364400,9854782
108.,Chris Wilcox,6250000,9677642
109.,Stephen Jackson,6120000,9476347
110.,Eric Snow,6093750,9435701
111.,Etan Thomas,5883600,9110300
111.,Derek Fisher,5883600,9110300
111.,Hidayet Turkoglu,5883600,9110300
111.,Marquis Daniels,5883600,9110300
111.,Antonio McDyess,5883600,9110300
116.,Jamaal Tinsley,5850000,9058273
117.,LeBron James,5828090,9024347
118.,Jason Collins,5800000,8980852
119.,Tony Battie,5746000,8897237
120.,Donyell Marshall,5633037,8722323
121.,Troy Hudson,5603000,8675813
122.,Marko Jaric,5525000,8555036
122.,Udonis Haslem,5525000,8555036
122.,Gerald Wallace,5525000,8555036
125.,Jeff Foster,5500000,8516325
126.,Antonio Daniels,5400000,8361483
126.,Shareef Abdur-Rahim,5400000,8361483
126.,Earl Watson,5400000,8361483
126.,Jerome James,5400000,8361483
126.,Brian Skinner,5400000,8361483
126.,Stromile Swift,5400000,8361483
126.,Brian Cardinal,5400000,8361483
133.,Shane Battier,5393300,8351109
134.,Vin Baker,5329555,8252404
135.,Bobby Jackson,5259000,8143155
136.,Dan Gadzuric,5252065,8132417
137.,Darko Milicic,5218622,8080633
138.,Joel Przybilla,5215000,8075025
138.,Jared Jeffries,5215000,8075025
138.,Mike James,5215000,8075025
138.,Vladimir Radmanovic,5215000,8075025
138.,Tim Thomas,5215000,8075025
138.,Nazr Mohammed,5215000,8075025
144.,Greg Buckner,5182074,8024041
145.,Brent Barry,5117880,7924642
146.,Marc Jackson,4875000,7548561
147.,Dwight Howard,4806720,7442835
148.,Shawn Bradley,4800000,7432429
149.,Carmelo Anthony,4694041,7268360
150.,Andrew Bogut,4665960,7224879
151.,Alvin Williams,4587508,7103401
152.,Eduardo Najera,4571428,7078503
153.,Morris Peterson,4550000,7045324
154.,Andrea Bargnani,4501200,6969761
155.,Brendan Haywood,4500000,6967902
155.,Raja Bell,4500000,6967902
157.,John Salmons,4400000,6813060
157.,Brevin Knight,4400000,6813060
159.,Trenton Hassell,4350000,6735639
160.,Emeka Okafor,4300560,6659085
161.,Eric Williams,4296000,6652024
162.,Chris Bosh,4235220,6557911
163.,Chris Mihm,4214241,6525427
164.,Rafer Alston,4200000,6503376
165.,Marvin Williams,4174800,6464355
166.,Anthony Parker,4150000,6425954
167.,Carlos Arroyo,4100000,6348533
168.,Damon Stoudamire,4050000,6271112
169.,LaMarcus Aldridge,4027320,6235994
170.,Kyle Korver,4018182,6221844
171.,Gordan Giricek,4000000,6193691
171.,Sarunas Jasikevicius,4000000,6193691
171.,Reggie Evans,4000000,6193691
171.,Zaza Pachulia,4000000,6193691
175.,Andres Nocioni,3950000,6116270
176.,Damon Jones,3884678,6015124
177.,Ben Gordon,3862080,5980132
178.,Dwyane Wade,3841443,5948178
179.,Bob Sura,3840000,5945943
180.,Jorge Garbajosa,3750000,5806585
180.,Bruce Bowen,3750000,5806585
182.,Deron Williams,3749040,5805099
183.,Vitaly Potapenko,3674584,5689809
184.,Marcus Banks,3672414,5686449
185.,Darius Songaila,3650000,5651743
186.,Adam Morrison,3616680,5600150
187.,Jeff McInnis,3600000,5574322
188.,Pat Garrity,3525000,5458190
189.,Dale Davis,3500000,5419480
189.,Tyronn Lue,3500000,5419480
191.,Chris Kaman,3491768,5406733
192.,Shaun Livingston,3481920,5391484
193.,Chris Paul,3380160,5233917
194.,Keyon Dooling,3348000,5184119
195.,Robert Horry,3315000,5133021
196.,Melvin Ely,3303813,5115699
