,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Rhys Hoskins,32.0,5.053,1122023,,12000000,FREE AGENT,,,,,
1,Gregory Soto,30.1,3.102,139252023,,3925000,ARB 2,ARB 3,FREE AGENT,,,
2,Ranger Suárez,29.6,3.112,12952023,,2950000,ARB 2,ARB 3,FREE AGENT,,,
3,Jake Cave,32.3,3.137,19502023,,950000,ARB 2,ARB 3,FREE AGENT,,,
4,Edmundo Sosa,29.1,2.140,19502023,,950000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
