,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Victor Caratini,31.6,5.051,1282023,,2800000,FREE AGENT,,,,,
1,Brandon Woodruff,32.1,4.161,11082023,,10800000,ARB 3,FREE AGENT,,,,
2,Corbin Burnes,30.4,4.049,110012023,,10010000,ARB 3,FREE AGENT,,,,
3,Willy Adames,29.6,4.105,1872023,,8700000,ARB 3,FREE AGENT,,,,
4,Eric Lauer,29.8,4.033,150752023,,5075000,ARB 3,FREE AGENT,,,,
5,Rowdy Tellez,30.0,4.004,14952023,,4950000,ARB 3,FREE AGENT,,,,
6,Adrian Houser,32.1,4.010,1362023,,3600000,ARB 3,FREE AGENT,,,,
7,Devin Williams,30.5,3.056,13352023,,3350000,ARB 2,ARB 3,FREE AGENT,,,
8,Hoby Milner,34.2,3.068,110252023,,1025000,ARB 2,ARB 3,FREE AGENT,,,
9,Abraham Toro,28.3,2.149,11252023,,1250000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
