,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Corey Knebel,28.9,4.151,151252020,,5125000,ARB 4,FREE AGENT,,,,
1,Alex Claudio,28.7,4.114,11752020,1750000,1750000,ARB 3,FREE AGENT,,,,
2,Omar Narváez,28.7,3.089,127252020,,2725000,ARB 2,ARB 3,FREE AGENT,,,
3,Orlando Arcia,26.2,3.047,1222020,,2200000,ARB 2,ARB 3,FREE AGENT,,,
4,Jace Peterson,30.4,4.046,12019,,MiLB,ARB 3,ARB 4,FREE AGENT,,,
5,Josh Hader,26.5,2.115,1412020,,4100000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
6,Ryon Healy,28.7,3.080,112020,1000000,1000000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
