,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Josh Phegley,32.6,5.087,11352020,,1350000,FREE AGENT,,,,,
1,Kris Bryant,28.8,4.171,11862020,,18600000,ARB 4,FREE AGENT,,,,
2,Javier Báez,27.8,4.089,1102020,,10000000,ARB 3,FREE AGENT,,,,
3,Kyle Schwarber,27.6,4.086,17012020,,7010000,ARB 3,FREE AGENT,,,,
4,Ryan Tepera,32.9,4.008,19002020,900000,900000,ARB 3,FREE AGENT,,,,
5,Dan Winkler,30.7,4.063,17502020,750000,750000,ARB 3,FREE AGENT,,,,
6,Willson Contreras,28.4,3.108,1452020,,4500000,ARB 2,ARB 3,FREE AGENT,,,
7,Albert Almora Jr.,26.5,3.073,115752020,,1575000,ARB 2,ARB 3,FREE AGENT,,,
8,Rex Brothers,32.8,4.091,19002020,,900000,NO ARB,ARB 3,FREE AGENT,,,
9,Josh Osich,32.1,3.119,18502020,850000,850000,ARB 2,ARB 3,FREE AGENT,,,
10,Kyle Ryan,29.0,2.139,19752020,,975000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
