,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Cody Bellinger,29.7,6.160,380202425202526,26666667,27500000,27500000,25000000,,,,
1,Dansby Swanson,31.1,7.047,7177202329,25285714,26000000,28000000,28000000,28000000,27000000,26000000,FREE AGENT
2,Ian Happ,30.6,6.036,361202426,20333333,21000000,21000000,19000000,FREE AGENT,,,
3,Seiya Suzuki,30.6,2.000,585202226,17000000,21000000,19000000,19000000,FREE AGENT,,,
4,Jameson Taillon,33.4,7.110,468202326,17000000,18000000,18000000,18000000,FREE AGENT,,,
5,Kyle Hendricks,35.3,9.081,570202024,16000000,16000000,FREE AGENT,,,,,
6,Shota Imanaga,31.6,0.000,45325202425202627202880,13500000,9500000,13750000,15000000,15000000,17000000,,
7,Nico Hoerner,27.9,4.014,335202426,11666667,11500000,11500000,12000000,FREE AGENT,,,
8,Drew Smyly,35.8,11.143,223202324,11500000,10500000,10000000,,,,,
9,Jorge López,32.1,5.102,13742024,373978,373978,FREE AGENT,,,,,
