,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Josh James,32.0,2.030,16022021,,602000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Framber Valdez,31.3,1.163,163732021,,637300,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
2,Kyle Tucker,28.2,1.079,162432021,,624300,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
3,Cristian Javier,28.0,1.000,162042021,,620400,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Yordan Alvarez,27.7,1.113,16092021,,609000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,José Urquidy,29.9,1.049,160422021,,604200,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Blake Taylor,29.6,1.000,159912021,,599100,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Luis Garcia,28.3,0.125,158012021,,580100,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Chas McCormick,29.9,0.000,157052021,,570500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Estimated salaries for other pre-arbitration players,1711500,,,,,,,,,,
