,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Jeremy Peña,27.5,2.000,178352024,,783500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Jake Meyers,28.8,2.044,176732024,,767300,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Jon Singleton,33.5,1.069,18502024,,850000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
3,Tayler Scott,32.8,1.015,17902024,,790000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Yainer Diaz,26.5,1.035,176892024,,768900,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Seth Martinez,30.6,1.108,175362024,,753600,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Ronel Blanco,31.6,0.101,174982024,,749800,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Hunter Brown,26.6,1.035,174452024,,744500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Penn Murfee,30.9,1.169,17402024,,740000,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
9,Spencer Arrighetti,25.2,,17402024,,740000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
10,J.P. France,30.0,0.149,176762024,,767600,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
11,Estimated salaries for other pre-arbitration players,740000,,,,,,,,,,
