,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Corey Seager,30.9,6.032,10325202231,32500000,33000000,35500000,35000000,32500000,31500000,31500000,31500000
1,Marcus Semien,34.5,7.118,7175202228,25000000,25000000,26000000,26000000,26000000,26000000,26000000,20000000
2,Jon Gray,33.4,6.062,456202225,14000000,15000000,15000000,13000000,13000000,FREE AGENT,,
3,Kole Calhoun,37.4,8.130,1522022,5200000,5200000,5500000,,,,,
4,Brad Miller,35.4,8.004,210202223,5000000,6000000,4000000,FREE AGENT,,,,
5,Martín Pérez,34.0,9.038,142022,4000000,4000000,FREE AGENT,,,,,
6,José Leclerc,31.3,5.041,62625201924202324,3687500,5250000,6000000,6250000,FREE AGENT,,,
7,Matt Moore,35.8,9.000,12376202225,2376374,2376374,FREE AGENT,,,,,
8,Charlie Culberson,36.0,6.051,11752022,1750000,1750000,FREE AGENT,,,,,
