,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Josh Jung,27.1,1.027,17562024,,756000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
1,Josh Smith,27.6,1.129,174952024,,749500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
2,Cody Bradford,27.1,0.086,174852024,,748500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
3,Evan Carter,22.6,0.024,17452024,,745000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
4,Wyatt Langford,23.4,,17402024,,740000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
5,Estimated salaries for other pre-arbitration players,5920000,,,,,,,,,,
