,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Robbie Ray,33.5,7.007,5115202226,23000000,21000000,21000000,23000000,25000000,25000000,FREE AGENT,
1,J.P. Crawford,30.2,3.163,551202226,10200000,6000000,11000000,11000000,11000000,12000000,FREE AGENT,
2,Eugenio Suárez,33.7,7.061,8792018252025,9428571,11285714,11285714,11285714,15000000,FREE AGENT,,
3,Carlos Santana,39.0,11.115,2175202122,8750000,10500000,FREE AGENT,,,,,
4,Marco Gonzales,33.1,4.102,430202124,7500000,5750000,6750000,12250000,15000000,,,
5,Luis Castillo,32.3,4.101,17352022510820232720281802027,7350000,7350000,11400000,24150000,24150000,24150000,24150000,25000000
6,Jesse Winker,31.6,4.080,2145202223,7250000,6250000,8250000,FREE AGENT,,,,
7,Matthew Boyd,34.1,5.136,1522022,5200000,5200000,FREE AGENT,,,,,
8,Chris Flexen,30.7,1.107,31275202123,4250000,2950000,8200000,,,,,
9,Evan White,28.9,2.000,624202025202628,4000000,1400000,3000000,7000000,8000000,10000000,11000000,12500000
10,Andrés Muñoz,26.2,2.080,475202225202628,1875000,1500000,1500000,2000000,2500000,6000000,8000000,10000000
11,Julio Rodríguez,24.2,,170020221220932023292030342029810,700000,700000,6185714,12185714,20185714,20185714,20185714,20185714
