,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Casey Sadler,34.7,2.035,159182021,,591800,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Dylan Moore,32.6,2.000,159042021,,590400,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Diego Castillo,31.2,2.118,158232021,,582300,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Paul Sewald,34.8,2.101,157052021,,570500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Kyle Lewis,29.7,1.020,16252021,,625000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Justus Sheffield,28.9,1.053,16252021,,625000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Ty France,30.7,1.089,158752021,,587500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Nick Margevicius,28.8,1.100,158692021,,586900,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Justin Dunn,29.5,1.020,158492021,,584900,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
9,Luis Torrens,28.9,1.128,158072021,,580700,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
10,Anthony Misiewicz,30.4,1.000,157872021,,578700,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
11,Erik Swanson,31.6,1.099,157052021,,570500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
12,Andrés Muñoz,26.2,1.080,"1 yr, TBD (2021)",,TBD,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
13,Jake Fraley,29.8,0.097,157212021,,572100,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
14,Abraham Toro,28.3,1.039,157052021,,570500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
15,Jarred Kelenic,25.7,,"1 yr, TBD (2021)",,TBD,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3
16,Estimated salaries for other pre-arbitration players,2282000,,,,,,,,,,
