,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,David Bednar,30.5,2.076,17452023,,745000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Connor Joe,32.6,1.136,17352023,,735000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
2,Johan Oviedo,27.1,1.079,17352023,,735000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
3,Bailey Falter,27.9,1.032,17332023,,733000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Roansy Contreras,25.4,0.112,17252023,,725000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
5,Jack Suwinski,26.7,0.118,17252023,,725000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
6,Ji Hwan Bae,25.7,0.013,17252023,,725000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
7,Colin Holderman,29.5,0.130,17252023,,725000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Dauri Moreta,28.9,0.120,17252023,,725000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Oneil Cruz,26.5,0.110,17202023,,720000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
10,Jason Delay,30.1,0.095,17202023,,720000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
11,Tucupita Marcano,25.5,0.141,17202023,,720000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
12,Estimated salaries for other pre-arbitration players,9360000,,,,,,,,,,
