,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Tyler Rogers,34.3,2.034,17302022,,730000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Logan Webb,28.4,2.044,17302022,,730000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,LaMonte Wade Jr.,31.2,2.035,17302022,,730000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Thairo Estrada,29.1,1.158,17152022,,715000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Andrew Vasquez,31.5,0.045,18002022,,800000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
5,Camilo Doval,27.7,0.125,170382022,,703750,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
6,Luis González,29.5,0.071,17002022,,700000,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3
7,Estimated salaries for other pre-arbitration players,4900000,,,,,,,,,,
