,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Jarlín García,32.2,4.114,117252022,,1725000,ARB 3,FREE AGENT,,,,
1,John Brebbia,34.8,4.057,183752022,,837500,ARB 3,FREE AGENT,,,,
2,J.D. Davis,31.9,3.137,12762022,,2760000,ARB 3,ARB 4,FREE AGENT,,,
3,Austin Slater,32.3,3.147,11852022,,1850000,ARB 3,ARB 4,FREE AGENT,,,
4,Willie Calhoun,30.4,3.033,1132022,,1300000,ARB 2,ARB 3,FREE AGENT,,,
5,Jharel Cotton,33.2,3.052,17002022,,700000,ARB 2,ARB 3,FREE AGENT,,,
6,Mike Yastrzemski,34.6,2.128,1372022,,3700000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
