,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Carlos Rodón,32.3,6.168,1215202223,22000000,21500000,,FREE AGENT,,,,
1,Brandon Belt,36.9,10.128,11842022,18400000,18400000,FREE AGENT,,,,,
2,Evan Longoria,39.5,13.170,6100201722,16666667,19666667,13000000,,,,,
3,Brandon Crawford,38.2,10.094,232202223,16000000,16000000,16000000,FREE AGENT,,,,
4,Alex Wood,34.2,8.123,225202223,12500000,12500000,12500000,FREE AGENT,,,,
5,Anthony DeSclafani,34.9,7.062,336202224,12000000,12000000,12000000,12000000,FREE AGENT,,,
6,Alex Cobb,37.5,10.061,3282022242024,10000000,9000000,9000000,10000000,FREE AGENT,,,
7,Tommy La Stella,36.1,7.057,31875202123,6250000,5250000,11500000,,,,,
8,Joc Pederson,32.9,7.028,162022,6000000,6000000,FREE AGENT,,,,,
9,Wilmer Flores,33.6,8.003,39520202231652023252025,3500000,3500000,6500000,6500000,3500000,FREE AGENT,,
10,Jakob Junis,32.5,4.016,11752022,1750000,1750000,ARB 3,FREE AGENT,,,,
11,Jose Alvarez,35.9,7.035,2255202122,1500000,1500000,FREE AGENT,,,,,
