,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,David Price,39.6,11.164,6185201622,31000000,32000000,FREE AGENT,,,,,
1,Mookie Betts,32.5,7.070,12365202132,25554824,22916667,25416667,30416667,30416667,30416667,30416667,35416667
2,Freddie Freeman,35.5,11.033,6162202227,24700000,27000000,27000000,27000000,27000000,27000000,27000000,FREE AGENT
3,Justin Turner,40.3,11.045,234202122,17000000,20000000,16000000,,,,,
4,Clayton Kershaw,37.0,13.105,1172022,17000000,17000000,FREE AGENT,,,,,
5,Craig Kimbrel,36.8,10.161,458201922,16000000,16000000,FREE AGENT,,,,,
6,Chris Taylor,34.6,6.037,4602022252026,15000000,15000000,15000000,13000000,13000000,12000000,,
7,Blake Treinen,36.7,7.065,4252021242024,8750000,8000000,8000000,1000000,FREE AGENT,,,
8,Max Muncy,34.6,5.027,3245202022113520232024,8666667,13000000,13500000,10000000,,,,
9,Andrew Heaney,33.8,6.150,1852022,8500000,8500000,FREE AGENT,,,,,
10,Tyler Anderson,35.2,6.065,182022,8000000,8000000,FREE AGENT,,,,,
11,Daniel Hudson,38.0,11.106,2125202223,7000000,6000000,6500000,6500000,,,,
12,Walker Buehler,30.7,3.168,28202122,4000000,4250000,ARB 3,ARB 4,FREE AGENT,,,
13,Danny Duffy,36.3,10.085,132022,3000000,3000000,7000000,,,,,
14,Chris Martin,38.8,4.133,1252022,2500000,2500000,FREE AGENT,,,,,
15,Tommy Kahnle,35.6,6.131,2475202122,2375000,3725000,FREE AGENT,,,,,
16,Austin Barnes,35.2,5.098,24320212231052023252025,2150000,2650000,3500000,3500000,3500000,FREE AGENT,,
17,Kevin Pillar,36.2,7.113,11799202225,1799451,1799451,FREE AGENT,,,,,
18,Hanser Alberto,32.4,5.085,1162022,1600000,1350000,2000000,,,,,
19,Jimmy Nelson,35.8,7.107,17002022,700000,700000,1100000,,,,,
