,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Stephen Strasburg,36.7,11.118,7245202026,35000000,35000000,35000000,35000000,35000000,35000000,,
1,Patrick Corbin,35.7,9.105,6140201924,23333333,23416667,24416667,35416667,FREE AGENT,,,
2,Nelson Cruz,44.7,14.082,1152022,15000000,12000000,16000000,,,,,
3,Will Harris,40.6,8.102,324202022,8000000,8000000,FREE AGENT,,,,,
4,César Hernández,34.8,7.154,142022,4000000,4000000,FREE AGENT,,,,,
5,Aníbal Sánchez,41.1,14.083,122022,2000000,2000000,FREE AGENT,,,,,
6,Steve Cishek,38.8,10.143,11752022,1750000,1750000,FREE AGENT,,,,,
7,Sean Doolittle,38.5,9.122,1152022,1500000,1500000,FREE AGENT,,,,,
